pawnKindDef,raceThingDef,appears,cut,intelligence
AA_RoyalAve,AA_RoyalAve,biomes:AB_TarPits=0.4000000059604645;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;ZBiome_Badlands=0.0024999999441206455,,Animal
AA_SandLion,AA_SandLion,biomes:AridShrubland=0.18000000715255737;ExtremeDesert=0.10000000149011612;Desert=0.10000000149011612;ZBiome_DesertOasis=0.10000000149011612;ZBiome_Grasslands=0.03500000014901161,,Animal
AA_SandProwler,AA_SandProwler,biomes:AB_MechanoidIntrusion=0.18000000715255737;AB_RockyCrags=0.15000000596046448;ExtremeDesert=0.10000000149011612;Desert=0.10000000149011612;ZBiome_DesertOasis=0.10000000149011612;AridShrubland=0.07000000029802322;AB_TarPits=0.03999999910593033;ZBiome_Grasslands=0.03500000014901161;AB_OcularForest=0.009999999776482582,,Animal
AA_SandSquid,AA_SandSquid,biomes:Scarlands=0.18000000715255737;ExtremeDesert=0.05000000074505806;AridShrubland=0.05000000074505806;Desert=0.05000000074505806;ZBiome_DesertOasis=0.05000000074505806;ZBiome_Grasslands=0.02500000037252903;ZBiome_Badlands=0.004999999888241291,,Animal
AA_ShadowCharger,AA_ShadowCharger,biomes:AB_RockyCrags=0.18000000715255737;AridShrubland=0.019999999552965164;Desert=0.009999999776482582;ZBiome_Badlands=0.009999999776482582;ZBiome_Grasslands=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582,,Animal
AA_ShockGoat,AA_ShockGoat,biomes:AB_TarPits=0.699999988079071;AB_OcularForest=0.699999988079071;PoisonForest=0.10000000149011612,,Animal
AA_Skiphound,AA_Skiphound,biomes:Wasteland=0.699999988079071;AB_FeraliskInfestedJungle=0.019999999552965164;AB_GelatinousSuperorganism=0.019999999552965164;AridShrubland=0.004999999888241291;ZBiome_Badlands=0.0024999999441206455;ZBiome_Grasslands=0.0024999999441206455,,Animal
AA_Skyeel,AA_Skyeel,biomes:AB_RockyCrags=1;AB_PropaneLakes=1;BMT_CrystalCaverns=1,,Animal
AA_Slurrypede,AA_Slurrypede,biomes:AB_MechanoidIntrusion=0.18000000715255737;BMT_CrystalCaverns=0.18000000715255737;ExtremeDesert=0.009999999776482582;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;Wasteland=0.009999999776482582;PoisonForest=0.009999999776482582;AB_PropaneLakes=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;Scarlands=0.009999999776482582;AB_MiasmicMangrove=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582;Volcano=0.009999999776482582;LavaField=0.009999999776482582;ZBiome_Grasslands=0.004999999888241291;ZBiome_Badlands=0.0024999999441206455,,Animal
AA_SmallButterfly,AA_SmallButterfly,biomes:ZBiome_Badlands=1,,Animal
AA_SpinedGow,AA_SpinedGow,biomes:AB_PyroclasticConflagration=1.5;Scarlands=0.18000000715255737,,Animal
AA_SummitCrab,AA_SummitCrab,biomes:AB_RockyCrags=0.012000000104308128,,Animal
AA_Swarmling,AA_Swarmling,biomes:AB_MiasmicMangrove=0.699999988079071;AB_OcularForest=0.15000000596046448;AB_MycoticJungle=0.07000000029802322;AB_FeraliskInfestedJungle=0.07000000029802322;PoisonForest=0.05000000074505806;ZBiome_Badlands=0.03500000014901161;AB_PyroclasticConflagration=0.029999999329447746;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;Wasteland=0.009999999776482582;AB_PropaneLakes=0.009999999776482582;AB_MechanoidIntrusion=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;AB_GelatinousSuperorganism=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;Volcano=0.009999999776482582;ExtremeDesert=0.004999999888241291,,Animal
AA_TarGuzzler,AA_TarGuzzler,biomes:AB_TarPits=1.5;AB_GelatinousSuperorganism=0.18000000715255737,,Animal
AA_TeratogenicOriginator,AA_TeratogenicOriginator,biomes:ExtremeDesert=0.009999999776482582;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;Scarlands=0.009999999776482582;LavaField=0.009999999776482582;ZBiome_Grasslands=0.004999999888241291;ZBiome_Badlands=0.0024999999441206455,,Animal
AA_Terramorph,AA_Terramorph,biomes:Wasteland=0.4000000059604645;Desert=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322;ExtremeDesert=0.05000000074505806;AridShrubland=0.05000000074505806;AB_PyroclasticConflagration=0.029999999329447746;ZBiome_Grasslands=0.02500000037252903;AB_PropaneLakes=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;LavaField=0.009999999776482582;ZBiome_Badlands=0.004999999888241291,,Animal
AA_TetraSlug,AA_TetraSlug,biomes:ExtremeDesert=0.0010000000474974513;AridShrubland=0.0010000000474974513;Desert=0.0010000000474974513;AB_MycoticJungle=0.0010000000474974513;Wasteland=0.0010000000474974513;PoisonForest=0.0010000000474974513;AB_PropaneLakes=0.0010000000474974513;AB_FeraliskInfestedJungle=0.0010000000474974513;AB_MechanoidIntrusion=0.0010000000474974513;ZBiome_DesertOasis=0.0010000000474974513;AB_GelatinousSuperorganism=0.0010000000474974513;Scarlands=0.0010000000474974513;AB_MiasmicMangrove=0.0010000000474974513;AB_TarPits=0.0010000000474974513;AB_PyroclasticConflagration=0.0010000000474974513;Volcano=0.0010000000474974513;LavaField=0.0010000000474974513;AB_OcularForest=0.0010000000474974513;ZBiome_Grasslands=0.0005000000237487257;ZBiome_Badlands=0.0002500000118743628,,Animal
AA_Thermadon,AA_Thermadon,biomes:AB_MiasmicMangrove=0.4000000059604645;AB_PyroclasticConflagration=0.10000000149011612;LavaField=0.05000000074505806;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;Wasteland=0.009999999776482582;PoisonForest=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;Scarlands=0.009999999776482582;Volcano=0.009999999776482582;ZBiome_Grasslands=0.004999999888241291;ZBiome_Badlands=0.0024999999441206455,,Animal
AA_Thunderbeast,AA_Thunderbeast,biomes:Volcano=0.4000000059604645;AB_GelatinousSuperorganism=0.05000000074505806;AB_MycoticJungle=0.02500000037252903;AB_FeraliskInfestedJungle=0.02500000037252903;AB_OcularForest=0.02500000037252903;ZBiome_Badlands=0.0062500000931322575;AridShrubland=0.004999999888241291;ZBiome_Grasslands=0.0024999999441206455,,Animal
AA_Thunderox,AA_Thunderox,biomes:AB_RockyCrags=0.18000000715255737;ZBiome_Badlands=0.02500000037252903;ExtremeDesert=0.019999999552965164;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582,,Animal
AA_UnblinkingEye,AA_UnblinkingEye,biomes:AB_OcularForest=0.00800000037997961,,Animal
AA_Wildpawn,AA_Wildpawn,biomes:AridShrubland=0.4000000059604645;AB_MycoticJungle=0.07000000029802322;PoisonForest=0.05000000074505806;ZBiome_Badlands=0.05000000074505806;ZBiome_Grasslands=0.02500000037252903;AB_MiasmicMangrove=0.019999999552965164,,Animal
AA_Wildpod,AA_Wildpod,biomes:AB_MycoticJungle=0.07000000029802322;AridShrubland=0.05000000074505806;PoisonForest=0.05000000074505806;ZBiome_Grasslands=0.02500000037252903;AB_MiasmicMangrove=0.019999999552965164;ZBiome_Badlands=0.017500000074505806,,Animal
AA_WindBeast,AA_WindBeast,biomes:AB_PropaneLakes=0.4000000059604645;BMT_CrystalCaverns=0.4000000059604645;AridShrubland=0.0024999999441206455;Desert=0.0024999999441206455;AB_MycoticJungle=0.0024999999441206455;AB_FeraliskInfestedJungle=0.0024999999441206455;AB_MechanoidIntrusion=0.0024999999441206455;ZBiome_DesertOasis=0.0024999999441206455;AB_GelatinousSuperorganism=0.0024999999441206455;AB_TarPits=0.0024999999441206455;AB_PyroclasticConflagration=0.0024999999441206455;AB_OcularForest=0.0024999999441206455;ZBiome_Grasslands=0.0012499999720603228;ZBiome_Badlands=0.0006249999860301614,,Animal
AG_OcularSlinger,AG_OcularSlinger,biomes:AB_MiasmicMangrove=0.18000000715255737,,Animal
AM_Dryad_Corruptor,AM_Dryad_Corruptor,biomes:PoisonForest=0.699999988079071;BMT_FungalForest=0.699999988079071,,Animal
AM_Dryad_Ocular,AM_Dryad_Ocular,biomes:PoisonForest=0.699999988079071;BMT_FungalForest=0.699999988079071,,Animal
AM_Dryad_Spitter,AM_Dryad_Spitter,biomes:LavaField=0.699999988079071,,Animal
AM_Dryad_Tumorous,AM_Dryad_Tumorous,biomes:Wasteland=0.699999988079071;PoisonForest=0.699999988079071,,Animal
AM_Dryad_Unstable,AM_Dryad_Unstable,biomes:BMT_FungalForest=0.699999988079071,,Animal
AM_UnshackledDryad,AM_UnshackledDryad,biomes:AB_MycoticJungle=0.699999988079071,,Animal
Acklay,Acklay,biomes:AridShrubland=0.014000000432133675;Desert=0.00800000037997961,,Animal
Aiwha,Aiwha,biomes:Wasteland=0.3499999940395355,,Animal
Akk,Akk,biomes:AridShrubland=0.019999999552965164,,Animal
AlphaThrumbo,AlphaThrumbo,biomes:AB_TarPits=0.05000000074505806,,Animal
Anooba,Anooba,biomes:AB_MiasmicMangrove=0.4000000059604645;AridShrubland=0.1599999964237213;Desert=0.07999999821186066;ExtremeDesert=0.009999999776482582,,Animal
Arthropleura,Arthropleura,biomes:AB_MechanoidIntrusion=0.009999999776482582;Scarlands=0.009999999776482582;AridShrubland=0.00800000037997961;AB_MycoticJungle=0.00800000037997961;AB_FeraliskInfestedJungle=0.00800000037997961;AB_MiasmicMangrove=0.00800000037997961;ZBiome_Grasslands=0.004000000189989805;ZBiome_Badlands=0.001500000013038516;AB_GelatinousSuperorganism=0.0010000000474974513;AB_TarPits=0.0010000000474974513,,Animal
BI_Queen,BI_Queen,biomes:AB_PyroclasticConflagration=0.18000000715255737,,Animal
BMT_AaroxisDendoria,BMT_AaroxisDendoria,biomes:AB_MiasmicMangrove=0.4000000059604645,,Animal
BMT_BarbedPangolin,BMT_BarbedPangolin,biomes:AB_RockyCrags=0.18000000715255737,,Animal
BMT_Basilisk,BMT_Basilisk,biomes:AB_MechanoidIntrusion=0.4000000059604645,,Animal
BMT_Batbird,BMT_Batbird,biomes:ZBiome_DesertOasis=1;AB_OcularForest=1,,Animal
BMT_BeardedYak,BMT_BeardedYak,biomes:AB_MycoticJungle=0.18000000715255737,,Animal
BMT_BloodletterPetrel,BMT_BloodletterPetrel,biomes:Wasteland=0.699999988079071;LavaField=0.699999988079071,,Animal
BMT_BloodropMoth,BMT_BloodropMoth,biomes:ExtremeDesert=0.699999988079071,,Animal
BMT_BovineBeetle,BMT_BovineBeetle,biomes:ZBiome_Badlands=0.18000000715255737,,Animal
BMT_BrownBat,BMT_BrownBat,biomes:AB_FeraliskInfestedJungle=1;ZBiome_DesertOasis=1;LavaField=1,,Animal
BMT_BunkerBug,BMT_BunkerBug,biomes:AB_MechanoidIntrusion=0.3499999940395355,,Animal
BMT_CactusCrab,BMT_CactusCrab,biomes:Desert=0.18000000715255737,,Animal
BMT_CarrionVulture,BMT_CarrionVulture,biomes:AB_MechanoidIntrusion=0.699999988079071;Scarlands=0.699999988079071,,Animal
BMT_CaveCricket,BMT_CaveCricket,biomes:ZBiome_DesertOasis=0.4000000059604645,,Animal
BMT_CaveLemming,BMT_CaveLemming,biomes:PoisonForest=0.4000000059604645;BMT_FungalForest=0.4000000059604645,,Animal
BMT_CaveSpider,BMT_CaveSpider,biomes:Scarlands=0.12600000202655792,,Animal
BMT_ChemSnail,BMT_ChemSnail,biomes:AB_MycoticJungle=0.699999988079071;ZBiome_Badlands=0.699999988079071,,Animal
BMT_ColonyPustuleHornet,BMT_ColonyPustuleHornet,biomes:AB_RockyCrags=0.699999988079071;Scarlands=0.699999988079071,,Animal
BMT_ColonyPustuleHornetQueen,BMT_ColonyPustuleHornetQueen,biomes:ExtremeDesert=0.4000000059604645,,Animal
BMT_Creature_Mantrap,BMT_Creature_Mantrap,biomes:AB_FeraliskInfestedJungle=0.699999988079071;Scarlands=0.699999988079071,,Animal
BMT_CrestedDragon,BMT_CrestedDragon,biomes:AB_FeraliskInfestedJungle=0.699999988079071;AB_MiasmicMangrove=0.699999988079071,,Animal
BMT_CrystalBeetle,BMT_CrystalBeetle,biomes:AB_GelatinousSuperorganism=0.18000000715255737,,Animal
BMT_CrystalMantis,BMT_CrystalMantis,biomes:LavaField=0.18000000715255737,,Animal
BMT_DarkAxolotl,BMT_DarkAxolotl,biomes:PoisonForest=0.4000000059604645;Volcano=0.4000000059604645,,Animal
BMT_Diggerpede,BMT_Diggerpede,biomes:Desert=0.4000000059604645,,Animal
BMT_FacetMoth,BMT_FacetMoth,biomes:AB_PyroclasticConflagration=0.699999988079071,,Animal
BMT_FamineLocust,BMT_FamineLocust,biomes:AB_RockyCrags=0.699999988079071;Scarlands=0.699999988079071,,Animal
BMT_FenridStoat,BMT_FenridStoat,biomes:PoisonForest=0.4000000059604645;BMT_FungalForest=0.4000000059604645,,Animal
BMT_FireSalamander,BMT_FireSalamander,biomes:Scarlands=0.4000000059604645,,Animal
BMT_FleeceSpider,BMT_FleeceSpider,biomes:Wasteland=0.699999988079071;BMT_FungalForest=0.699999988079071,,Animal
BMT_FoundryBeetle,BMT_FoundryBeetle,biomes:Scarlands=0.18000000715255737,,Animal
BMT_FreezerFrog,BMT_FreezerFrog,biomes:AB_RockyCrags=0.699999988079071;AB_PropaneLakes=0.699999988079071;BMT_CrystalCaverns=0.699999988079071,,Animal
BMT_FungalFerret,BMT_FungalFerret,biomes:AridShrubland=0.699999988079071;AB_OcularForest=0.699999988079071,,Animal
BMT_FungalMantis,BMT_FungalMantis,biomes:ZBiome_DesertOasis=0.18000000715255737,,Animal
BMT_FungalWeevil,BMT_FungalWeevil,biomes:AridShrubland=0.699999988079071,,Animal
BMT_GastroToad,BMT_GastroToad,biomes:ZBiome_DesertOasis=0.699999988079071;LavaField=0.699999988079071,,Animal
BMT_Gembug,BMT_Gembug,biomes:AB_MiasmicMangrove=0.699999988079071,,Animal
BMT_GiantSlug,BMT_GiantSlug,biomes:LavaField=0.18000000715255737,,Animal
BMT_GiantSnail,BMT_GiantSnail,biomes:Volcano=0.18000000715255737,,Animal
BMT_GlowBat,BMT_GlowBat,biomes:AB_MiasmicMangrove=1;Volcano=1;LavaField=1,,Animal
BMT_GlowSlug,BMT_GlowSlug,biomes:Volcano=0.699999988079071,,Animal
BMT_Glowtail,BMT_Glowtail,biomes:ExtremeDesert=0.699999988079071,,Animal
BMT_GoetoTadpole,BMT_GoetoTadpole,biomes:AridShrubland=1;LavaField=1,,Animal
BMT_GoetoToad,BMT_GoetoToad,biomes:LavaField=0.699999988079071,,Animal
BMT_HoarfrostMastodon,BMT_HoarfrostMastodon,biomes:AB_PropaneLakes=0.25200000405311584,,Animal
BMT_HungeringHydra,BMT_HungeringHydra,biomes:AB_MechanoidIntrusion=0.3499999940395355,,Animal
BMT_ImperialToad,BMT_ImperialToad,biomes:AridShrubland=0.699999988079071;ZBiome_DesertOasis=0.699999988079071,,Animal
BMT_Jellypot,BMT_Jellypot,biomes:Desert=0.699999988079071;ZBiome_DesertOasis=0.699999988079071,,Animal
BMT_JewelBeetle,BMT_JewelBeetle,biomes:AB_FeraliskInfestedJungle=0.18000000715255737,,Animal
BMT_LandOctopus,BMT_LandOctopus,biomes:Volcano=0.4000000059604645,,Animal
BMT_Maguana,BMT_Maguana,biomes:ZBiome_Grasslands=0.18000000715255737,,Animal
BMT_Maligoat,BMT_Maligoat,biomes:Wasteland=0.4000000059604645,,Animal
BMT_Megabat,BMT_Megabat,biomes:Volcano=0.18000000715255737,,Animal
BMT_Megakrill,BMT_Megakrill,biomes:AB_RockyCrags=1;AB_MycoticJungle=1;AB_PropaneLakes=1;BMT_CrystalCaverns=1,,Animal
BMT_Megaphorid,BMT_Megaphorid,biomes:AB_RockyCrags=0.699999988079071;BMT_CrystalCaverns=0.699999988079071;Scarlands=0.699999988079071,,Animal
BMT_Megapleura,BMT_Megapleura,biomes:LavaField=0.18000000715255737,,Animal
BMT_Megaroach,BMT_Megaroach,biomes:AB_RockyCrags=1;AB_MechanoidIntrusion=1,,Animal
BMT_MetalloSnail,BMT_MetalloSnail,biomes:AB_MechanoidIntrusion=0.4000000059604645,,Animal
BMT_Mole,BMT_Mole,biomes:AB_GelatinousSuperorganism=0.699999988079071;Volcano=0.699999988079071,,Animal
BMT_Molebear,BMT_Molebear,biomes:AB_MiasmicMangrove=0.18000000715255737,,Animal
BMT_MossBeetle,BMT_MossBeetle,biomes:AridShrubland=0.699999988079071,,Animal
BMT_MossyFennec,BMT_MossyFennec,biomes:BMT_FungalForest=0.699999988079071,,Animal
BMT_MucklurkerCatfish,BMT_MucklurkerCatfish,biomes:AB_FeraliskInfestedJungle=0.4000000059604645;AB_PyroclasticConflagration=0.4000000059604645,,Animal
BMT_MutagenicNorphea,BMT_MutagenicNorphea,biomes:AB_MycoticJungle=0.699999988079071;ZBiome_Badlands=0.699999988079071,,Animal
BMT_MutatingTumorfishAdult,BMT_MutatingTumorfishAdult,biomes:ZBiome_DesertOasis=0.18000000715255737,,Animal
BMT_MutatingTumorfishFry,BMT_MutatingTumorfishFry,biomes:AB_FeraliskInfestedJungle=0.4000000059604645;AB_PyroclasticConflagration=0.4000000059604645,,Animal
BMT_MutatingTumorfishSpawn,BMT_MutatingTumorfishSpawn,biomes:ZBiome_Grasslands=0.4000000059604645;AB_PyroclasticConflagration=0.4000000059604645,,Animal
BMT_Pillbug,BMT_Pillbug,biomes:AB_MechanoidIntrusion=0.699999988079071,,Animal
BMT_Polluwog,BMT_Polluwog,biomes:ZBiome_DesertOasis=1;Volcano=1,,Animal
BMT_PustuleHornet,BMT_PustuleHornet,biomes:AB_RockyCrags=0.699999988079071;Scarlands=0.699999988079071,,Animal
BMT_PustuleHornetQueen,BMT_PustuleHornetQueen,biomes:ExtremeDesert=0.4000000059604645,,Animal
BMT_PustuleHornetSpawned,BMT_PustuleHornetSpawned,biomes:Desert=0.699999988079071;Scarlands=0.699999988079071,,Animal
BMT_Sacapillar,BMT_Sacapillar,biomes:ZBiome_Grasslands=0.18000000715255737,,Animal
BMT_SandLeaper,BMT_SandLeaper,biomes:ZBiome_Badlands=1;Volcano=1,,Animal
BMT_Screecher,BMT_Screecher,biomes:PoisonForest=0.4000000059604645,,Animal
BMT_ShimmershellSnail,BMT_ShimmershellSnail,biomes:Volcano=0.699999988079071,,Animal
BMT_SilverSheep,BMT_SilverSheep,biomes:AB_MycoticJungle=0.4000000059604645,,Animal
BMT_SludgeCrawler,BMT_SludgeCrawler,biomes:Volcano=0.18000000715255737,,Animal
BMT_SmogMoth,BMT_SmogMoth,biomes:AB_FeraliskInfestedJungle=0.699999988079071;AB_PyroclasticConflagration=0.699999988079071,,Animal
BMT_SmogMothLarvae,BMT_SmogMothLarvae,biomes:AB_PyroclasticConflagration=0.699999988079071,,Animal
BMT_SmolderstingScorpion,BMT_SmolderstingScorpion,biomes:AB_MechanoidIntrusion=0.18000000715255737,,Animal
BMT_Snowstalker,BMT_Snowstalker,biomes:AB_MycoticJungle=0.4000000059604645,,Animal
BMT_SonarRabbit,BMT_SonarRabbit,biomes:Volcano=1,,Animal
BMT_Stoneback,BMT_Stoneback,biomes:Desert=0.699999988079071;ZBiome_DesertOasis=0.699999988079071,,Animal
BMT_Swarmcaller,BMT_Swarmcaller,biomes:AB_RockyCrags=0.4000000059604645;AB_MycoticJungle=0.4000000059604645;Scarlands=0.4000000059604645,,Animal
BMT_TaintedTurtle,BMT_TaintedTurtle,biomes:ZBiome_DesertOasis=0.699999988079071;AB_PyroclasticConflagration=0.699999988079071,,Animal
BMT_ToxSheep,BMT_ToxSheep,biomes:Volcano=0.699999988079071;LavaField=0.699999988079071,,Animal
BMT_TripleSnapper,BMT_TripleSnapper,biomes:ZBiome_DesertOasis=0.4000000059604645;LavaField=0.4000000059604645,,Animal
BMT_TruffleMole,BMT_TruffleMole,biomes:AridShrubland=0.4000000059604645,,Animal
BMT_Varmot,BMT_Varmot,biomes:AB_MycoticJungle=1;BMT_FungalForest=1,,Animal
BMT_Woollybat,BMT_Woollybat,biomes:AB_MechanoidIntrusion=0.4000000059604645,,Animal
BMT_Xyrion,BMT_Xyrion,biomes:Volcano=0.4000000059604645,,Animal
Bantha,Bantha,biomes:AridShrubland=0.5;Desert=0.5,,Animal
Behemoth,Behemoth,biomes:AridShrubland=0.4000000059604645;ZBiome_Badlands=0.035999998450279236,,Animal
Beldon,Beldon,biomes:ExtremeDesert=0.009999999776482582;AridShrubland=0.009999999776482582;Desert=0.009999999776482582,,Animal
Blarth,Blarth,biomes:AB_TarPits=0.699999988079071,,Animal
Blixus,Blixus,biomes:BMT_CrystalCaverns=0.05040000006556511,,Animal
Blurrg,Blurrg,biomes:AB_TarPits=0.18000000715255737;AridShrubland=0.1599999964237213;Desert=0.03999999910593033,,Animal
Boarwolf,Boarwolf,biomes:ZBiome_Grasslands=0.18000000715255737,,Animal
Bogwing,Bogwing,biomes:Desert=0.699999988079071,,Animal
Bolotaur,Bolotaur,biomes:AridShrubland=0.4000000059604645;Desert=0.009999999776482582,,Animal
Boma,Boma,biomes:ZBiome_DesertOasis=0.18000000715255737;AridShrubland=0.07999999821186066,,Animal
Boomalope,Boomalope,biomes:AB_TarPits=0.18000000715255737,,Animal
Boomrat,Boomrat,biomes:AB_OcularForest=1,,Animal
Borcatu,Borcatu,biomes:Wasteland=0.699999988079071;BMT_FungalForest=0.699999988079071;AridShrubland=0.1599999964237213;Desert=0.07999999821186066,,Animal
Bordok,Bordok,biomes:AB_OcularForest=0.4000000059604645,,Animal
Brezak,Brezak,biomes:AridShrubland=0.4000000059604645;Desert=0.03999999910593033;ExtremeDesert=0.009999999776482582,,Animal
Bursa,Bursa,biomes:AB_MycoticJungle=0.18000000715255737;AridShrubland=0.03999999910593033,,Animal
CanCell,CanCell,biomes:ZBiome_Badlands=0.4000000059604645,,Animal
Cannok,Cannok,biomes:ExtremeDesert=0.4000000059604645;AridShrubland=0.1599999964237213;Desert=0.03999999910593033,,Animal
ChrysalideRancor,ChrysalideRancor,biomes:Volcano=0.08640000224113464,,Animal
Clodhopper,Clodhopper,biomes:ZBiome_Grasslands=0.699999988079071;AridShrubland=0.4000000059604645;Desert=0.03999999910593033,,Animal
ColossusToad,ColossusToad,biomes:ZBiome_DesertOasis=0.4000000059604645,,Animal
Convor,Convor,biomes:AB_OcularForest=0.699999988079071;AridShrubland=0.03999999910593033;Desert=0.009999999776482582,,Animal
Corinathoth,Corinathoth,biomes:AridShrubland=0.4000000059604645,,Animal
DA_Barog,DA_Barog,biomes:Wasteland=0.18000000715255737,,Animal
DA_BeardedTroll,DA_BeardedTroll,biomes:AB_MycoticJungle=0.18000000715255737,,Animal
DA_BlackScribe,DA_BlackScribe,biomes:Desert=0.30000001192092896;ZBiome_DesertOasis=0.30000001192092896;AridShrubland=0.25;ExtremeDesert=0.15000000596046448,,Animal
DA_Crestel,DA_Crestel,biomes:BMT_FungalForest=0.05000000074505806,,Animal
DA_DwarvenMuffton,DA_DwarvenMuffton,biomes:Wasteland=0.4000000059604645,,Animal
DA_ImperialRedhound,DA_ImperialRedhound,biomes:PoisonForest=0.18000000715255737,,Animal
DA_IroncasketBeetle,DA_IroncasketBeetle,biomes:AB_GelatinousSuperorganism=0.699999988079071,,Animal
DA_Karabal,DA_Karabal,biomes:AridShrubland=0.550000011920929;ZBiome_DesertOasis=0.550000011920929;AB_MiasmicMangrove=0.4000000059604645;Desert=0.20000000298023224;ExtremeDesert=0.10000000149011612,,Animal
DA_LeviathanCrab,DA_LeviathanCrab,biomes:PoisonForest=0.1574999988079071,,Animal
DA_Phrak,DA_Phrak,biomes:ZBiome_Grasslands=0.699999988079071;AB_PyroclasticConflagration=0.699999988079071,,Animal
DA_Pilgrim,DA_Pilgrim,biomes:AridShrubland=0.550000011920929;ZBiome_DesertOasis=0.550000011920929;Desert=0.20000000298023224;AB_FeraliskInfestedJungle=0.18000000715255737;ExtremeDesert=0.10000000149011612,,Animal
DA_RedhornedLarpah,DA_RedhornedLarpah,biomes:Wasteland=0.4000000059604645;ZBiome_Grasslands=0.009999999776482582,,Animal
DA_Snaptoad,DA_Snaptoad,biomes:LavaField=0.18000000715255737,,Animal
DA_SnowTaraal,DA_SnowTaraal,biomes:AB_PropaneLakes=0.18000000715255737,,Animal
DA_Taraal,DA_Taraal,biomes:BMT_FungalForest=0.18000000715255737,,Animal
DZY_RNGChicken,DZY_RNGChicken,biomes:ZBiome_Badlands=0.699999988079071,,Animal
Dactillion,Dactillion,biomes:AridShrubland=0.800000011920929;ZBiome_DesertOasis=0.08399999886751175;Desert=0.07999999821186066;ExtremeDesert=0.019999999552965164,,Animal
Dalgo,Dalgo,biomes:AridShrubland=0.4000000059604645,,Animal
Devourers,Devourers,biomes:ExtremeDesert=0.18000000715255737,,Animal
Dewback,Dewback,biomes:LavaField=0.05730000138282776;Desert=0.05000000074505806;AridShrubland=0.019999999552965164,,Animal
Dinocrocuta,Dinocrocuta,biomes:ZBiome_Grasslands=0.012000000104308128;AridShrubland=0.00800000037997961;Desert=0.00800000037997961;ZBiome_DesertOasis=0.00800000037997961;AB_TarPits=0.007000000216066837,,Animal
Dinornis,Dinornis,biomes:Desert=0.3149999976158142;ZBiome_Grasslands=0.012000000104308128;AB_GelatinousSuperorganism=0.009999999776482582;AridShrubland=0.00800000037997961;AB_MycoticJungle=0.007000000216066837;ZBiome_Badlands=0.004000000189989805;AB_MiasmicMangrove=0.004000000189989805;AB_OcularForest=0.0010000000474974513,,Animal
Doedicurus,Doedicurus,biomes:ExtremeDesert=0.019999999552965164;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;ZBiome_Grasslands=0.006000000052154064;AridShrubland=0.004000000189989805;AB_TarPits=0.003000000026077032;ZBiome_Badlands=0.0010000000474974513,,Animal
Drexl,Drexl,biomes:ExtremeDesert=0.009999999776482582;AridShrubland=0.009999999776482582;Desert=0.009999999776482582,,Animal
ERN_Amaro,ERN_Amaro,biomes:Volcano=0.4000000059604645;Desert=0.10000000149011612;AridShrubland=0.07999999821186066,,Animal
Elasmotherium,Elasmotherium,biomes:BMT_FungalForest=0.05000000074505806,,Animal
EnergySpider,EnergySpider,biomes:ZBiome_DesertOasis=0.08399999886751175;ExtremeDesert=0.009999999776482582;Desert=0.009999999776482582;AridShrubland=0.0010000000474974513,,Animal
Eopie,Eopie,biomes:AridShrubland=0.800000011920929;ZBiome_Badlands=0.4000000059604645;Desert=0.20000000298023224;ExtremeDesert=0.03999999910593033,,Animal
Falumpaset,Falumpaset,biomes:ExtremeDesert=0.3499999940395355;AridShrubland=0.07999999821186066,,Animal
Fanback,Fanback,biomes:ZBiome_DesertOasis=0.18000000715255737,,Animal
FancyRat,FancyRat,biomes:ZBiome_Badlands=1;AridShrubland=0.009999999776482582,,Animal
FeralGrazer,FeralGrazer,biomes:AridShrubland=0.03999999910593033,,Animal
FeralNerf,FeralNerf,biomes:AB_MycoticJungle=0.4000000059604645;AridShrubland=0.03999999910593033,,Animal
FrilledGorg,FrilledGorg,biomes:AridShrubland=1;ZBiome_Grasslands=0.699999988079071;Desert=0.20000000298023224;ExtremeDesert=0.10000000149011612,,Animal
FrogDog,FrogDog,biomes:AB_OcularForest=0.4000000059604645,,Animal
GR_AberrantFleshbeast,GR_AberrantFleshbeast,biomes:AridShrubland=0.07000000029802322,,Animal
GR_AnimusHare,GR_AnimusHare,biomes:AB_TarPits=0.699999988079071,,Animal
