defName,label,mod,bodySize,status,cluster,hue,sat,val,aspect,spiky
BMT_FireSalamander,fire salamander,Biomes! Caverns,1.25,foreign,15,0.0334,0.834,0.623,0.413,1.178
BMT_FleeceSpider,fleece spider,Biomes! Caverns,0.3199999928474426,dormant,14,0.065,0.433,0.216,1.011,1.154
BMT_FoundryBeetle,foundry beetle,Biomes! Caverns,2.4000000953674316,foreign,4,0.0152,0.212,0.228,0.698,1.873
BMT_FoundryBeetleLarvae,foundry grub,Biomes! Caverns,1.7999999523162842,dormant,0,0.0337,0.087,0.55,0.414,1.146
BMT_FoundryBeetlePupa,foundry pupa,Biomes! Caverns,1,dormant,0,0.0,0.0,0.617,2.059,1.078
BMT_FreezerFrog,freezer frog,Biomes! Caverns,0.75,dormant,19,0.5575,0.144,0.397,0.875,0.875
BMT_FrostweaverSpider,frostweaver,Biomes! Caverns,2.4000000953674316,dormant,19,0.5603,0.221,0.477,0.876,2.372
BMT_FungalFerret,fungal ferret,Biomes! Caverns,0.5,ours,5,0.0981,0.401,0.521,0.353,1.237
BMT_FungalMantis,fungal mimic mantis,Biomes! Caverns,2,ours,15,0.0808,0.581,0.434,0.685,1.643
BMT_FungalWeevil,fungal weevil,Biomes! Caverns,0.5,ours,22,0.1183,0.3,0.501,0.634,1.038
BMT_GastroToad,gastro toad,Biomes! Polluted Lands,0.30000001192092896,dormant,7,0.3205,0.091,0.317,1.0,1.016
BMT_Gembug,gembug,Biomes! Caverns,0.33500000834465027,ours,19,0.5624,0.566,0.737,0.633,1.086
BMT_GiantSlug,giant slug,Biomes! Caverns,1.7000000476837158,ours,21,0.1543,0.178,0.414,0.453,1.241
BMT_GiantSnail,giant snail,Biomes! Caverns,2.5999999046325684,ours,4,0.0797,0.229,0.345,0.691,1.008
BMT_GlarralPenguin,glarral penguin,Biomes! Caverns,1,dormant,19,0.5414,0.071,0.546,0.675,1.088
BMT_GlowBat,bioluminescent bat,Biomes! Caverns,0.25,ours,17,0.5607,0.217,0.146,1.786,1.345
BMT_GlowSlug,glowslug,Biomes! Caverns,0.4000000059604645,ours,19,0.5,0.218,0.39,0.514,1.311
BMT_Glowtail,glowtail,Biomes! Polluted Lands,0.3199999928474426,dormant,13,0.1753,0.193,0.49,0.283,1.291
BMT_GoetoTadpole,goeto tadpole,Biomes! Caverns,0.10000000149011612,dormant,22,0.1035,0.386,0.611,1.11,0.964
BMT_GoetoToad,goeto toad,Biomes! Caverns,0.30000001192092896,ours,22,0.1035,0.386,0.611,1.11,0.964
BMT_HoarfrostMastodon,hoarfrost mastodon,Biomes! Caverns,3.5,dormant,19,0.5561,0.071,0.667,0.696,1.029
BMT_HungeringHydra,hungering hydra,Biomes! Caverns,5.5,dormant,1,0.3063,0.138,0.377,0.603,1.444
BMT_ImperialToad,imperial toad,Biomes! Caverns,0.30000001192092896,dormant,14,0.073,0.255,0.403,1.037,0.963
BMT_Jellypot,jellypot,Biomes! Caverns,0.6499999761581421,dormant,22,0.1476,0.363,0.441,0.672,1.007
BMT_JewelBeetle,jewel beetle,Biomes! Caverns,2.450000047683716,dormant,17,0.3775,0.686,0.347,0.575,1.103
BMT_JewelBeetleLarvae,jewel grub,Biomes! Caverns,0.8999999761581421,dormant,12,0.2277,0.279,0.649,0.744,0.964
BMT_JewelBeetlePupa,jewel pupa,Biomes! Caverns,1,dormant,0,0.0,0.0,0.617,2.059,1.078
BMT_LandOctopus,terrestrial octopus,Biomes! Core,0.800000011920929,dormant,23,0.1925,0.55,0.405,0.979,1.474
BMT_MaceDrake,mace drake,Biomes! Caverns,3.5,dormant,10,0.6648,0.122,0.294,1.099,2.427
BMT_Maguana,maguana,Biomes! Caverns,2.0999999046325684,foreign,15,0.045,0.296,0.367,0.382,1.33
BMT_Maligoat,maligoat,Biomes! Polluted Lands,1,dormant,4,0.0404,0.183,0.304,0.537,1.017
BMT_Maxolotl,maxolotl,Biomes! Core,2.4000000953674316,ours,0,1.0,0.107,0.778,0.448,1.46
BMT_Megabat,megabat,Biomes! Caverns,2.200000047683716,dormant,9,0.0768,0.045,0.28,1.087,1.952
BMT_Megakrill,megakrill,Biomes! Polluted Lands,0.20000000298023224,dormant,21,0.1572,0.078,0.279,0.349,1.236
BMT_Megaphorid,megaphorid,Biomes! Polluted Lands,0.6000000238418579,dormant,21,0.1416,0.182,0.226,0.878,1.437
BMT_MegaphoridLarva,megaphorid maggot,Biomes! Polluted Lands,0.3199999928474426,dormant,21,0.1598,0.126,0.242,0.56,0.975
BMT_Megapleura,megapleura,Biomes! Caverns,2.4000000953674316,ours,20,0.4242,0.344,0.2,0.632,1.386
BMT_Megaroach,megaroach,Biomes! Polluted Lands,0.20000000298023224,dormant,21,0.1041,0.194,0.308,0.59,1.187
BMT_MetalloSnail,metallosnail,Biomes! Caverns,0.8500000238418579,foreign,4,0.0,0.201,0.202,0.837,1.033
BMT_Mole,mole,Biomes! Caverns,0.4000000059604645,dormant,21,0.0861,0.225,0.151,0.457,1.087
BMT_Molebear,Molebear,Biomes! Caverns,2.1500000953674316,dormant,4,0.0423,0.103,0.263,0.733,1.209
BMT_MossBeetle,moss beetle,Biomes! Caverns,0.44999998807907104,ours,19,0.5208,0.116,0.305,0.725,0.981
BMT_MossBeetleLarvae,moss grub,Biomes! Caverns,0.699999988079071,ours,0,0.1449,0.109,0.422,0.753,0.953
BMT_MossBeetlePupa,moss pupa,Biomes! Caverns,1,dormant,0,0.0,0.0,0.617,2.059,1.078
BMT_MossyFennec,mossy fennec,Biomes! Caverns,0.6000000238418579,ours,16,0.3182,0.187,0.218,0.395,1.221
BMT_MucklurkerCatfish,mucklurker catfish,Biomes! Polluted Lands,0.8500000238418579,dormant,13,0.2564,0.19,0.255,0.746,1.735
BMT_MutagenicNorphea,mutagenic norphea,Biomes! Polluted Lands,0.3199999928474426,dormant,12,0.2965,0.156,0.436,0.693,1.015
BMT_MutatingTumorfishAdult,mutating tumorfish,Biomes! Polluted Lands,1.7999999523162842,dormant,21,0.0785,0.161,0.295,0.822,1.314
BMT_MutatingTumorfishFry,mutating tumorfish fry,Biomes! Polluted Lands,0.800000011920929,dormant,4,0.0509,0.178,0.23,0.659,1.433
BMT_MutatingTumorfishSpawn,mutating tumorfish spawn,Biomes! Polluted Lands,0.800000011920929,dormant,4,0.0513,0.136,0.195,1.062,1.07
BMT_Pillbug,pillbug,Biomes! Caverns,0.4000000059604645,ours,13,0.1667,0.011,0.24,0.561,1.331
BMT_PodWorm,pod worm,Biomes! Caverns,4,ours,10,0.532,0.252,0.2,0.488,1.112
BMT_Polluwog,polluwog,Biomes! Polluted Lands,0.10000000149011612,dormant,7,0.3242,0.091,0.279,0.396,1.217
BMT_PustuleHornet,pustule hornet,Biomes! Polluted Lands,0.3199999928474426,dormant,13,0.2205,0.272,0.462,0.685,1.862
BMT_PustuleHornetQueen,pustule queen,Biomes! Polluted Lands,1,dormant,13,0.2196,0.269,0.469,1.016,1.878
BMT_PustuleHornetSpawned,pustule hornet,Biomes! Polluted Lands,0.3199999928474426,dormant,13,0.2205,0.272,0.462,0.685,1.862
BMT_Rimebeak,rimebeak,Biomes! Caverns,1.399999976158142,dormant,11,0.095,0.045,0.675,0.716,1.1
BMT_RoyalRhino,royal rhino beetle,Biomes! Caverns,3,ours,6,0.7728,0.47,0.271,0.986,0.919
BMT_RoyalRhinoLarvae,royal rhino grub,Biomes! Caverns,0.8999999761581421,dormant,0,0.9745,0.276,0.591,0.729,0.988
BMT_RoyalRhinoPupa,royal rhino pupa,Biomes! Caverns,1,dormant,0,0.0,0.0,0.617,2.059,1.078
BMT_Sacapillar,sacapillar,Biomes! Polluted Lands,2.4000000953674316,dormant,14,0.0375,0.412,0.391,0.538,1.019
BMT_SandLeaper,sand leaper,Biomes! Caverns,0.20000000298023224,dormant,21,0.1128,0.242,0.39,0.718,1.519
BMT_SandPillar,sandpillar,Biomes! Caverns,0.800000011920929,dormant,21,0.0826,0.295,0.395,0.652,1.041
BMT_Screecher,screecher,Biomes! Polluted Lands,1,dormant,4,0.0962,0.05,0.158,1.028,1.589
BMT_ShatterjawBeetle,shatterjaw beetle,Biomes! Caverns,1,ours,12,0.3333,0.01,0.277,0.442,1.473
BMT_ShatterjawBeetleLarvae,shatterjaw grub,Biomes! Caverns,0.8999999761581421,dormant,11,0.098,0.24,0.596,0.744,0.964
BMT_ShatterjawBeetlePupa,shatterjaw pupa,Biomes! Caverns,1,dormant,0,0.0,0.0,0.617,2.059,1.078
BMT_ShimmershellSnail,shimmershell snail,Biomes! Caverns,0.6000000238418579,ours,19,0.5523,0.369,0.49,0.589,1.203
BMT_SilverSheep,silver sheep,Biomes! Caverns,0.8500000238418579,dormant,11,0.0929,0.026,0.478,0.548,1.123
BMT_SludgeCrawler,sludgecrawler,Biomes! Polluted Lands,2.5999999046325684,dormant,21,0.2012,0.057,0.208,0.86,1.314
BMT_SmogMoth,smog moth,Biomes! Polluted Lands,0.7699999809265137,dormant,13,0.1707,0.189,0.308,1.722,1.51
BMT_SmogMothLarvae,smog caterpillar,Biomes! Polluted Lands,0.5,dormant,13,0.1737,0.137,0.237,0.789,1.652
BMT_SmogPupa,smog pupa,Biomes! Polluted Lands,1,dormant,13,0.1696,0.172,0.185,2.148,1.311
BMT_SmolderstingScorpion,smoldersting scorpion,Biomes! Caverns,2,foreign,4,0.018,0.077,0.306,0.717,1.479
BMT_Snowstalker,snowstalker,Biomes! Caverns,1,dormant,11,0.1227,0.075,0.457,0.364,1.247
BMT_SonarRabbit,sonar rabbit,Biomes! Caverns,0.20000000298023224,ours,3,0.9196,0.037,0.576,1.12,1.004
BMT_Stoneback,stoneback,Biomes! Caverns,0.4000000059604645,dormant,22,0.085,0.333,0.486,0.647,1.025
BMT_Swarmcaller,swarmcaller,Biomes! Polluted Lands,1,dormant,21,0.1914,0.134,0.366,0.54,1.023
BMT_TaintedTurtle,tainted turtle,Biomes! Polluted Lands,0.5,dormant,13,0.2252,0.08,0.296,1.075,0.979
BMT_Thrumbungus,thrumbungus,Biomes! Caverns,4,dormant,20,0.4407,0.009,0.632,0.826,1.177
BMT_ToxSheep,tox-wool sheep,Biomes! Polluted Lands,0.75,dormant,12,0.2916,0.054,0.316,0.831,0.94
BMT_TripleSnapper,triple snapper,Biomes! Polluted Lands,1.399999976158142,dormant,2,0.162,0.109,0.22,0.673,1.399
BMT_TruffleMole,truffle mole,Biomes! Caverns,0.8999999761581421,ours,14,0.045,0.29,0.506,0.731,1.038
BMT_Varmot,varmot,Biomes! Polluted Lands,0.20000000298023224,dormant,21,0.0939,0.1,0.239,0.59,0.98
BMT_WasteHound,waste hound,Biomes! Polluted Lands,0.8600000143051147,dormant,4,0.0096,0.159,0.407,0.481,1.075
BMT_Woollybat,woolly bat,Biomes! Caverns,1.2000000476837158,ours,0,0.0316,0.058,0.412,1.143,1.33
BMT_Xyrion,xyrion,Biomes! Caverns,0.8999999761581421,ours,0,0.9662,0.058,0.674,0.375,1.2
BMT_Yooka,yooka,Biomes! Caverns,2.0999999046325684,ours,10,0.8648,0.01,0.661,0.605,0.999
Badger,badger,Odyssey,0.6000000238418579,dormant,11,0.1041,0.061,0.499,0.581,1.026
Bantha,bantha,Star Wars Animal Collection (Continued),4,ours,11,0.097,0.115,0.523,0.986,1.034
Bardelot,bardelot,Beasts of the Rim (Continued),0.550000011920929,foreign,11,0.0853,0.027,0.686,0.615,1.306
Bear_Grizzly,grizzly bear,Core,2.1500000953674316,ours,0,0.0,0.002,0.696,0.875,0.983
Bear_Polar,polar bear,Core,2.1500000953674316,ours,0,0.9591,0.001,0.751,0.822,0.962
Behemoth,behemoth,Star Wars Animal Collection (Continued),6,ours,11,0.1255,0.181,0.575,0.971,1.228
Beldon,beldon,Star Wars Animal Collection (Continued),6,ours,0,0.0688,0.308,0.714,0.746,1.415
BiomesIslands_Flamingo,rose flamingo,Biomes! Core,0.699999988079071,dormant,14,0.0438,0.435,0.65,0.621,1.091
Bison,bison,Core,2.4000000953674316,ours,14,0.0691,0.439,0.326,1.045,0.951
BlackBear,black bear,Beasts of the Rim (Continued),2.1500000953674316,dormant,16,0.6331,0.546,0.061,1.042,1.331
BlackBearMan,black bear man,Beasts of the Rim (Continued),1,dormant,16,0.7996,0.351,0.132,0.513,1.148
Blarth,blarth,Star Wars Animal Collection (Continued),0.3199999928474426,foreign,2,0.2732,0.147,0.554,1.038,1.348
Blixus,blixus,Star Wars Animal Collection (Continued),4,ours,19,0.6208,0.247,0.334,0.632,1.962
Bluebird,bluebird,Odyssey,0.15000000596046448,dormant,16,0.7015,0.339,0.307,0.824,0.924
Blurrg,blurrg,Star Wars Animal Collection (Continued),2.5,ours,19,0.5836,0.086,0.479,0.958,0.937
Boarwolf,Boar-wolf,Star Wars Animal Collection (Continued),2,ours,21,0.0873,0.268,0.396,0.864,0.978
BogHound,bog hound,Odyssey,0.8500000238418579,dormant,12,0.3333,0.043,0.55,0.538,1.114
Bogwing,bogwing,Star Wars Animal Collection (Continued),0.699999988079071,ours,8,0.6153,0.14,0.453,1.381,1.896
Bolotaur,bolotaur,Star Wars Animal Collection (Continued),3,ours,23,0.1596,0.563,0.253,0.265,1.453
Boma,boma,Star Wars Animal Collection (Continued),2,ours,23,0.2015,0.342,0.44,1.019,0.986
Boomalope,boomalope,Core,2,ours,11,0.1374,0.173,0.618,0.62,1.048
Boomrat,boomrat,Core,0.20000000298023224,ours,22,0.1321,0.331,0.574,0.548,0.998
Borcatu,Borcatu,Star Wars Animal Collection (Continued),0.4000000059604645,ours,21,0.0764,0.35,0.358,0.6,1.037
Bordok,bordok,Star Wars Animal Collection (Continued),1.399999976158142,ours,22,0.1287,0.453,0.405,0.646,0.998
Brezak,brezak,Star Wars Animal Collection (Continued),3,ours,15,0.0758,0.478,0.52,0.528,1.603
BroodLord,brood lord,Horrors (Continued),13.199999809265137,dormant,4,0.0205,0.008,0.263,1.161,2.141
Bulbfreak,bulbfreak,Anomaly,3.5,dormant,3,0.9908,0.287,0.467,0.917,1.221
Bullfrog,bullfrog,Odyssey,0.20000000298023224,foreign,22,0.1391,0.384,0.331,1.269,0.979
Bulwark,bulwark,Horrors (Continued),6.199999809265137,foreign,4,0.0205,0.008,0.263,1.161,2.141
Bursa,bursa,Star Wars Animal Collection (Continued),2.5,ours,22,0.0915,0.275,0.502,0.742,1.058
CACrystalScythe,Crystal scythe,Caravan Adventures,1,dormant,9,0.1172,0.05,0.408,1.091,3.052
CADevourer,Devourer,Caravan Adventures,3.200000047683716,dormant,21,0.1007,0.077,0.434,1.087,1.076
CAEndBossMech,Judgment,Caravan Adventures,3.200000047683716,dormant,4,0.0,0.003,0.314,1.181,1.275
CAHarbinger,Harbinger,Caravan Adventures,1,dormant,21,0.1324,0.067,0.443,1.185,0.998
CAHavoc,Havoc,Caravan Adventures,1,dormant,21,0.1154,0.065,0.425,1.018,1.243
CAMech_Scyther,summoned scyther,Caravan Adventures,1,dormant,13,0.2161,0.074,0.349,0.465,1.273
CanCell,can-cell,Star Wars Animal Collection (Continued),1.4500000476837158,ours,9,0.0736,0.233,0.432,0.788,1.442
Cannok,cannok,Star Wars Animal Collection (Continued),0.8500000238418579,ours,22,0.1019,0.338,0.498,0.819,1.036
Capybara,capybara,Core,0.75,ours,14,0.0807,0.272,0.221,0.68,0.954
Caribou,caribou,Core,1,foreign,9,0.0827,0.263,0.34,0.617,1.672
Cassowary,cassowary,Core,0.6000000238418579,dormant,16,0.6204,0.272,0.312,0.627,1.037
Castoroides,castoroides,Megafauna,1.75,dormant,14,0.0654,0.3,0.413,1.167,0.922
Cat,cat,Core,0.3199999928474426,dormant,12,0.8333,0.038,0.536,0.283,1.344
Cat_Scimitar,scimitar cat,Odyssey,1.2999999523162842,dormant,18,0.015,0.052,0.547,0.583,1.164
Chalicotherium,chalicotherium,Megafauna,4,dormant,22,0.0914,0.386,0.661,0.694,1.246
Chicken,chicken,Core,0.30000001192092896,dormant,0,0.0275,0.032,0.639,0.871,1.012
Chimera,chimera,Anomaly,2.1500000953674316,dormant,3,0.0212,0.149,0.32,0.94,0.964
Chinchilla,chinchilla,Core,0.3499999940395355,ours,0,0.0276,0.055,0.71,0.696,0.895
ChrysalideRancor,chrysalide rancor,Star Wars Animal Collection (Continued),8,ours,12,0.0853,0.018,0.581,0.973,1.412
Clodhopper,clodhopper,Star Wars Animal Collection (Continued),0.5,ours,14,0.0597,0.551,0.485,0.884,1.215
Cobra,cobra,Core,0.25,dormant,2,0.0718,0.203,0.317,0.702,1.792
ColossusToad,colossus toad,Odyssey,0.800000011920929,foreign,6,0.853,0.26,0.386,1.241,0.973
Convor,convor,Star Wars Animal Collection (Continued),0.4000000059604645,ours,22,0.087,0.429,0.552,0.781,1.052
CorellianHound,corellian hound,Star Wars Animal Collection (Continued),0.8500000238418579,ours,11,0.0421,0.105,0.643,0.732,0.981
Corinathoth,corinathoth,Star Wars Animal Collection (Continued),4,ours,22,0.0948,0.337,0.643,0.575,1.344
Cougar,cougar,Core,1,ours,14,0.0588,0.321,0.423,0.474,1.118
Cow,cow,Core,2.4000000953674316,dormant,0,0.0392,0.007,0.687,0.633,1.022
Crow,crow,Odyssey,0.15000000596046448,dormant,10,0.6851,0.087,0.134,0.625,0.977
DA_ArcticOwlcat,arctic owlcat,Dark Ages : Beasts and Monsters,0.3799999952316284,dormant,10,0.8676,0.036,0.598,0.66,1.199
DA_Barog,barogoth,Dark Ages : Beasts and Monsters,2.4000000953674316,foreign,13,0.1795,0.204,0.483,1.057,0.912
DA_BeardedTroll,bearded troll,Dark Ages : Beasts and Monsters,2,foreign,4,0.0769,0.048,0.432,1.091,1.028
DA_BlackScribe,black scribe,Dark Ages : Beasts and Monsters,0.5,ours,4,0.0328,0.031,0.187,0.544,1.482
DA_Crestel,crestel,Dark Ages : Beasts and Monsters,4,foreign,4,0.0299,0.194,0.29,1.139,1.488
DA_DwarvenMuffton,dwarven muffton,Dark Ages : Beasts and Monsters,1.2999999523162842,foreign,21,0.1053,0.167,0.292,0.857,0.995
DA_ForestOwlcat,forest owlcat,Dark Ages : Beasts and Monsters,0.3799999952316284,dormant,4,0.0609,0.195,0.261,0.66,1.199
DA_Goldilox,goldilox,Dark Ages : Beasts and Monsters,4,dormant,22,0.1148,0.525,0.535,0.816,1.058
DA_ImperialRedhound,imperial redhound,Dark Ages : Beasts and Monsters,2.1500000953674316,dormant,4,0.0148,0.167,0.282,0.747,1.144
DA_IroncasketBeetle,ironcasket beetle,Dark Ages : Beasts and Monsters,0.5,dormant,4,0.0608,0.15,0.26,0.673,1.071
DA_Karabal,karabal,Dark Ages : Beasts and Monsters,1.399999976158142,ours,4,0.0627,0.126,0.206,0.525,1.28
DA_LeviathanCrab,leviathan,Dark Ages : Beasts and Monsters,3.299999952316284,dormant,19,0.5583,0.056,0.315,1.265,1.277
DA_NorthernDrog,northern drog,Dark Ages : Beasts and Monsters,4,foreign,21,0.1089,0.189,0.342,0.79,1.277
DA_Phrak,phrak,Dark Ages : Beasts and Monsters,0.30000001192092896,foreign,9,0.1508,0.198,0.272,0.742,1.708
DA_Pilgrim,pilgrim,Dark Ages : Beasts and Monsters,2.4000000953674316,ours,4,0.0804,0.317,0.275,0.707,1.045
DA_RedhornedLarpah,red-horned larpah,Dark Ages : Beasts and Monsters,1,ours,4,0.0534,0.158,0.264,0.978,1.182
DA_RockTroll,rock troll,Dark Ages : Beasts and Monsters,4.5,dormant,0,0.0696,0.021,0.626,0.899,1.029
DA_SilverMole,silver mole,Dark Ages : Beasts and Monsters,0.20000000298023224,dormant,11,0.0962,0.076,0.464,0.988,0.902
DA_Snaptoad,giant snaptoad,Dark Ages : Beasts and Monsters,2.299999952316284,foreign,22,0.1043,0.379,0.409,1.229,0.941
DA_SnowTaraal,snow taraal,Dark Ages : Beasts and Monsters,2.5,foreign,10,0.8116,0.041,0.657,1.053,0.98
DA_Taraal,taraal,Dark Ages : Beasts and Monsters,2.5,foreign,14,0.0496,0.396,0.304,1.053,0.953
DZY_RNGChicken,chaos chicken,R-Hen-G: Chaos Chickens,0.30000001192092896,dormant,0,0.0,0.0,0.338,1.6,0.958
Dactillion,dactillion,Star Wars Animal Collection (Continued),3,ours,3,0.9541,0.243,0.352,0.567,2.239
Daeodon,daeodon,Megafauna,3,dormant,5,0.1203,0.361,0.328,0.536,1.108
Dalgo,dalgo,Star Wars Animal Collection (Continued),2.5,ours,15,0.065,0.666,0.599,0.385,1.289
Deer,deer,Core,1.2000000476837158,ours,11,0.1352,0.068,0.583,0.575,1.392
Deinotherium,deinotherium,Megafauna,5.5,dormant,6,0.7728,0.07,0.551,0.779,0.963
Devourer,devourer,Anomaly,4,dormant,3,0.9549,0.162,0.367,0.706,1.107
Devourers,devourer,Star Wars Animal Collection (Continued),2.5,ours,23,0.2029,0.375,0.542,0.783,1.122
Dewback,dewback,Star Wars Animal Collection (Continued),3,ours,23,0.2354,0.368,0.322,1.031,0.91
Dianoga,dianoga,Star Wars Animal Collection (Continued),4,ours,2,0.0301,0.543,0.465,0.804,2.103
Dinocrocuta,dinocrocuta,Megafauna,3.5,ours,22,0.0931,0.468,0.44,0.822,1.113
Dinopithecus,dinopithecus,Megafauna,2.5,dormant,11,0.0736,0.107,0.544,0.78,1.108
Dinornis,dinornis,Megafauna,5,ours,15,0.0533,0.312,0.47,0.636,1.189
Diprotodon,diprotodon,Megafauna,4.199999809265137,dormant,22,0.122,0.37,0.383,1.049,0.925
Doedicurus,doedicurus,Megafauna,3,ours,21,0.1242,0.148,0.472,1.107,0.947
Donkey,donkey,Core,1.399999976158142,ours,0,0.0412,0.104,0.387,0.536,1.205
Dragonsnake,Dragonsnake,Star Wars Animal Collection (Continued),4,foreign,2,0.1275,0.51,0.446,0.875,1.396
Dreadmeld,dreadmeld,Anomaly,5,dormant,3,0.9926,0.282,0.454,0.977,1.068
Drexl,drexl,Star Wars Animal Collection (Continued),5,ours,10,0.6852,0.261,0.445,0.67,2.023
Dromedary,dromedary,Core,2.0999999046325684,ours,22,0.0922,0.244,0.491,0.676,0.949
Drone_Hunter,hunter drone,Odyssey,0.699999988079071,dormant,4,0.0354,0.245,0.334,1.103,1.229
Drone_Sentry,sentry drone,Odyssey,1,dormant,4,0.0655,0.118,0.276,0.683,1.169
Drone_Wasp,wasp,Odyssey,0.25,dormant,14,0.0635,0.16,0.31,0.909,0.9
Dryad_Barkskin,barkskin dryad,Ideology,0.6499999761581421,dormant,21,0.0882,0.237,0.302,0.969,1.005
Dryad_Basic,immature dryad,Ideology,0.6669999957084656,dormant,7,0.256,0.111,0.467,0.967,1.092
Dryad_Berrymaker,berrymaker dryad,Ideology,0.6669999957084656,dormant,17,0.4468,0.241,0.477,0.686,1.066
Dryad_Carrier,carrier dryad,Ideology,0.6669999957084656,dormant,22,0.0931,0.441,0.588,0.914,1.051
Dryad_Clawer,clawer dryad,Ideology,0.6669999957084656,dormant,14,0.0014,0.273,0.497,1.2,1.278
Dryad_Gaumaker,gaumaker dryad,Ideology,0.6669999957084656,dormant,12,0.2386,0.175,0.446,0.903,1.168
Dryad_Medicinemaker,medicinemaker dryad,Ideology,0.6669999957084656,dormant,17,0.4467,0.209,0.512,0.855,1.042
Dryad_Woodmaker,woodmaker dryad,Ideology,0.6669999957084656,dormant,14,0.0861,0.552,0.462,0.793,1.104
Duck,duck,Core,0.30000001192092896,foreign,0,0.1293,0.234,0.377,0.765,0.958
ERN_Amaro,amaro,Erin's Final Fantasy Animals,1.25,ours,13,0.1667,0.0,0.761,0.676,1.134
ERN_BigCarbuncle,grand carbuncle,Erin's Final Fantasy Animals,1,dormant,19,0.5278,0.44,0.557,0.605,1.872
ERN_Carbuncle,carbuncle,Erin's Final Fantasy Animals,0.6000000238418579,dormant,19,0.5268,0.424,0.53,0.608,1.833
ERN_Chocobo,chocobo,Erin's Final Fantasy Animals,1,dormant,11,0.0973,0.025,0.62,0.694,1.228
Elasmotherium,elasmotherium,Megafauna,4,foreign,4,0.0858,0.24,0.261,0.732,1.084
Elephant,elephant,Core,4,ours,12,0.2494,0.008,0.661,0.894,1.092
Elk,elk,Core,2.0999999046325684,foreign,15,0.0822,0.529,0.302,0.824,1.387
Emu,emu,Core,0.6000000238418579,dormant,4,0.059,0.126,0.298,0.789,0.972
EnergySpider,energy spider,Star Wars Animal Collection (Continued),3,ours,9,0.1066,0.213,0.409,0.794,3.874
Enhydriodon,enhydriodon,Megafauna,3,dormant,21,0.0986,0.256,0.244,0.613,0.986
Eopie,eopie,Star Wars Animal Collection (Continued),1.399999976158142,ours,0,0.0097,0.18,0.526,0.62,0.991
Falumpaset,falumpaset,Star Wars Animal Collection (Continued),3,ours,22,0.088,0.326,0.538,0.51,1.075
Fambaa,fambaa,Star Wars Animal Collection (Continued),6,ours,22,0.1334,0.575,0.53,0.88,0.903
Fanback,fanback,Star Wars Animal Collection (Continued),2,ours,5,0.1439,0.259,0.373,0.304,1.462
FancyRat,fancy rat,AA FancyRats,0.15000000596046448,ours,0,0.0762,0.071,0.492,0.349,1.365
FeralGrazer,feral grazer,Star Wars Animal Collection (Continued),2,ours,22,0.1022,0.383,0.521,1.0,0.932
FeralNerf,feral nerf,Star Wars Animal Collection (Continued),1,ours,0,0.0174,0.097,0.411,0.471,1.093
Fingerspike,fingerspike,Anomaly,0.6000000238418579,dormant,3,0.9924,0.305,0.494,0.769,0.993
Flamingo,flamingo,Odyssey,0.6000000238418579,dormant,3,0.9646,0.351,0.629,0.582,1.133
FleshmassNucleus,fleshmass nucleus,Anomaly,1,dormant,3,0.9704,0.091,0.175,0.968,0.901
Fox_Arctic,arctic fox,Core,0.550000011920929,ours,11,0.094,0.015,0.583,0.319,1.254
Fox_Fennec,fennec fox,Core,0.550000011920929,ours,5,0.1068,0.325,0.489,0.336,1.247
Fox_Red,red fox,Core,0.550000011920929,ours,15,0.0777,0.58,0.41,0.307,1.264
FrilledGorg,frilled gorg,Star Wars Animal Collection (Continued),0.4000000059604645,ours,22,0.1264,0.481,0.542,0.553,1.018
FrogDog,frog dog,Star Wars Animal Collection (Continued),0.8500000238418579,ours,22,0.0891,0.417,0.441,1.039,1.108
GR_AberrantFleshbeast,aberrant fleshbeast,Vanilla Genetics Expanded,5,dormant,15,0.0066,0.406,0.39,0.718,1.241
GR_AnimusHare,animus hare,Vanilla Genetics Expanded,0.3499999940395355,dormant,11,0.097,0.024,0.485,1.0,1.269
GR_ArchotechCentipede,archocentipede,Vanilla Genetics Expanded,20,dormant,13,0.206,0.064,0.283,0.677,1.679
GR_BearBug,bear bug,Vanilla Genetics Expanded,2,dormant,14,0.048,0.494,0.333,1.031,1.148
GR_Bearalope,bearalope,Vanilla Genetics Expanded,1.5,dormant,22,0.0963,0.428,0.382,0.813,1.005
GR_Bearcat,bearcat,Vanilla Genetics Expanded,1.75,dormant,14,0.0642,0.453,0.323,0.56,1.068
GR_Bearchicken,bearchicken,Vanilla Genetics Expanded,0.8100000023841858,dormant,14,0.0705,0.422,0.404,0.929,1.088
GR_Bearffalo,bearffalo,Vanilla Genetics Expanded,1.5,dormant,14,0.0623,0.428,0.325,0.986,1.001
GR_Bearhorse,bearhorse,Vanilla Genetics Expanded,3.5,dormant,14,0.0606,0.477,0.317,0.654,1.073
GR_Bearman,bearman,Vanilla Genetics Expanded,1.25,dormant,0,0.0195,0.225,0.681,0.897,0.97
GR_Bearmole,bearmole,Vanilla Genetics Expanded,0.800000011920929,dormant,0,0.0309,0.164,0.569,0.842,0.968
GR_Bearodile,bearodile,Vanilla Genetics Expanded,3.5,dormant,23,0.1794,0.498,0.349,0.829,0.978
GR_Bearscarab,bearscarab,Vanilla Genetics Expanded,3,dormant,22,0.087,0.331,0.359,0.762,1.135
