tile,landmark,why
107,VEE_Cenotes,Isor's Ruination Cenote Field
3063,VEE_Cenotes,Andgaor Water-Filled Cenotes
15951,VEE_Cenotes,Duck Water-Filled Cenotes
494,VEE_Cenotes,Hisum Collapsed Limestone Pools
5385,VEE_Cenotes,Eredo Cenote Lakes
5386,VEE_Cenotes,Weasel Hand Karst Hollows
3227,Cavern,Allna Cave Network
3225,Cavern,Kofinum Cavern
106,VEE_QuicksandPits,Orangeboar Loose Earth Pockets
221,VEE_QuicksandPits,Koberon Loose Earth Pockets
285,VEE_QuicksandPits,Ler Unstable Ground
286,VEE_QuicksandPits,Wombat Hand Quicksand Pits
15545,DryLake,Orbum Salt Flat
10070,DryLake,Lahatlium Barren Lake
7858,DryLake,Waus Sand Lake
4188,Cavern,Vasiñone Tunnel
16260,Cavern,Chamibe Cavern
7,sw_Sarlacc,Ouleria Sarlacc
44,sw_Sarlacc,Caisen Creature
64,sw_Sarlacc,White Chough Sarlacci Burrow
65,sw_Sarlacc,Pit of Red
2462,sw_DeadSarlacc,Dead Sarlacc
2463,sw_DeadSarlacc,Dead Sarlacc
2468,sw_DeadSarlacc,Dead Sarlacc
2747,Ruins,Deadkangaroo City
14049,Ruins,Monhinda City
48,Ruins,Orangebeetle Ruins
2709,Ruins,Megascarabfoot Ruins
13839,Ruins,Vivian's Jackpot
2715,Ruins,Adam's Downfall
13868,Ruins,Mala Ruins
13844,Ruins,Ruined Maxadache
99,VEE_Cenotes,Ououm Collapsed Limestone Pools
100,VEE_Cenotes,Gacam Karst Hollows
279,Hollow,Termite Heel Hollow
3447,VEE_StagnantRivulet,Marecur Silted Creek
171,VEE_StagnantRivulet,Magpie Paw Standing Channel
