== BIOME (used 30 of 80 defs) ==
    4205 19.23%  Desert
    3179 14.53%  ExtremeDesert
    174  Scald Spine              WB_MapLabelFeature
    172  Glass Reach              WB_MapLabelFeature
    171  The Verge                WB_MapLabelFeature
    165  Hanging Wood             WB_MapLabelFeature
    155  Fall Line                WB_MapLabelFeature
    154  Sunward Scrub            WB_MapLabelFeature
    153  Fall Line Barrens        WB_MapLabelFeature
    153  Cinderdark               WB_MapLabelFeature
    148  Slough                   WB_MapLabelFeature
    145  Blindwood                WB_MapLabelFeature
    142  Stillwood                WB_MapLabelFeature
    141  Level                    WB_MapLabelFeature
    140  Blight                   WB_MapLabelFeature
    129  Tallow Ground            WB_MapLabelFeature
    123  Mould Marches            WB_MapLabelFeature
    112  Cinders                  WB_MapLabelFeature
     93  Sweatwood                WB_MapLabelFeature
     90  Scorch                   WB_MapLabelFeature
     85  Stepwood                 WB_MapLabelFeature
     81  Fever Wood               WB_MapLabelFeature
     79  Pan                      WB_MapLabelFeature
     79  Grinding Floor           WB_MapLabelFeature
     78  Knuckles                 WB_MapLabelFeature
     75  Capwood                  WB_MapLabelFeature
     72  Wither                   WB_MapLabelFeature
     72  Venom Wood               WB_MapLabelFeature
     70  Fanground                WB_MapLabelFeature
     69  Ashwood                  WB_MapLabelFeature
     68  Coldshelf                WB_MapLabelFeature
     63  Pyrelands                WB_MapLabelFeature
     61  Thornend                 WB_MapLabelFeature
     60  Pale Flats               WB_MapLabelFeature
     57  Coldstone                WB_MapLabelFeature
     57  Lantern Deeps            WB_MapLabelFeature
     57  Chalk Marches            WB_MapLabelFeature
     56  Notch                    WB_MapLabelFeature
     43  Quiet Ground             WB_MapLabelFeature
     40  Hollow Verge             WB_MapLabelFeature
     34  The Abandoned Mines      WB_MapLabelFeature
     16  Salt Gate                WB_MapLabelFeature

== SETTLEMENTS ==
  Empire                       Sunspire                   tile 12828 
  Empire                       Oxalate Watch              tile 4366  
  Empire                       Ashgarrison                tile 135   
  Jawa_AscendantHelix          Helix Landing              tile 11947 
  Jawa_AscendantHelix          The Coil                   tile 5500  
  Jawa_AscendantHelix          Quiet Lab                  tile 21037 
  Jawa_AscendantHelix          Cold Archive               tile 17901 
  Jawa_AscendantHelix          The Revision               tile 8200  
  Jawa_AscendantHelix          Specimen Hall              tile 12082 
  Jawa_AscendantHelix          The Fair Copy              tile 5912  
  Jawa_DeepwaterCompact        Butora                     tile 17343 
  Jawa_DeepwaterCompact        Anchor Deep                tile 780   
  Jawa_DeepwaterCompact        Deepwater Hold             tile 9451  
  Jawa_DeepwaterCompact        Boilquay                   tile 17209 
  Jawa_DeepwaterCompact        Tidewatch                  tile 21765 
  Jawa_DeepwaterCompact        Kettle Deep                tile 19371 
  Jawa_FreeDroidEnclaves       No Master                  tile 19350 
  Jawa_FreeDroidEnclaves       Unbound Exception          tile 21560 
  Jawa_FreeDroidEnclaves       The Free Charge            tile 21547 
  Jawa_FreeDroidEnclaves       Second Speaker             tile 5072  
  Jawa_FreeDroidEnclaves       The Cracking Station       tile 20807 
  Jawa_FreeDroidEnclaves       Coldfire                   tile 9077  
  Jawa_FreeDroidEnclaves       Vent Nine                  tile 733   
  Jawa_GeonosianFoundryHive    The Unfinished Work        tile 7722  
  Jawa_GeonosianFoundryHive    Oxide Deep                 tile 20366 
  Jawa_GeonosianFoundryHive    The Godmouth               tile 21576 
  Jawa_GeonosianFoundryHive    Founder's Kiln             tile 675   
  Jawa_GeonosianFoundryHive    Hollow Hive                tile 8497  
  Jawa_HuttCartel              Gorga the Immense's Palace tile 3638  
  Jawa_HuttCartel              Vexxa's Casino             tile 18061 
  Jawa_HuttCartel              Hurgo the Vast's Palace    tile 7003  
  Jawa_HuttCartel              Rulla the Deep's Palace    tile 15076 
  Jawa_HuttCartel              Hurgo's Kennels            tile 21230 
  Jawa_HuttCartel              Hurgo's Waystation         tile 11880 
  Jawa_HuttCartel              Zeddo's Toll               tile 17006 
  Jawa_HuttCartel              Bloatu's Market            tile 5105  
  Jawa_HuttCartel              Norba's Vault              tile 1821  
  Jawa_HuttCartel              Zeddo's Station            tile 9727  
  Jawa_HuttCartel              Vexxa's Spicehouse         tile 2186  
  Jawa_HuttCartel              Mokka the Unpaid's Palace  tile 19187 
  Jawa_IndigenousTribes        The Ore Moot               tile 8082  
  Jawa_IndigenousTribes        Seabarter                  tile 13409 
  Jawa_Junkers                 The Fuel Works             tile 11779 
  Jawa_Junkers                 Ammonia Landing            tile 2407  
  Jawa_Junkers                 The Slagfield              tile 3226  
  Jawa_Junkers                 The Claim Jump             tile 16898 
  Jawa_WildsteamClan           Steamreach                 tile 12624 
  Jawa_WildsteamClan           Rego                       tile 12469 
  Jawa_WildsteamClan           Marrowmarsh                tile 21434 
  Jawa_WildsteamClan           Sporefall                  tile 11927 
  Jawa_WildsteamClan           Greenshadow                tile 17310 
  Jawa_WildsteamClan           Distant Scream             tile 1174  
  Jawa_WildsteamClan           Bitterleaf                 tile 6645  
  Jawa_WildsteamClan           Oilpalm                    tile 4271  
  Jawa_WildsteamClan           Warthorn                   tile 16641 
  OutlanderCivil               Misty Isles                tile 20776 
  OutlanderCivil               Rainshadow                 tile 2607  
  OutlanderCivil               Longfurrow                 tile 19212 
  OutlanderCivil               Greenline                  tile 18359 
  OutlanderCivil               Brine Flats                tile 6664  
  OutlanderCivil               Aquifer Station            tile 15051 
  OutlanderCivil               Dryhold                    tile 6266  
  OutlanderCivil               Reservoir 7                tile 6412  
  OutlanderCivil               Salty Hills                tile 19642 
  OutlanderCivil               Stillwater Farm            tile 655   
  OutlanderCivil               The Vaporworks             tile 19525 
  OutlanderCivil               Nightdew                   tile 1417  
  OutlanderCivil               Cold Catch                 tile 12953 
  OutlanderCivil               The Sumps                  tile 13000 
  OutlanderCivil               Brinefield                 tile 815   
  OutlanderCivil               Farrow                     tile 1752  
  OutlanderCivil               The Pipeworks              tile 18274 
  OutlanderCivil               Mistfoot                   tile 5816  
  OutlanderCivil               Dripstone                  tile 10203 
  OutlanderCivil               Whistledew                 tile 13150 
  OutlanderCivil               Pumphouse                  tile 18166 
  OutlanderCivil               Greenpatch                 tile 195   
  OutlanderCivil               Cloudtrap                  tile 20332 
  OutlanderCivil               Sweetwell                  tile 19945 
  OutlanderCivil               Hollowdew                  tile 10658 
  OutlanderCivil               Thornfurrow                tile 6690  
  OutlanderCivil               Chalkwell                  tile 19680 
  Pirate                       Blackstar Field            tile 18267 
  Pirate                       Bloodmoney                 tile 13662 
  Pirate                       Toll Rock                  tile 11494 
  Pirate                       Hardpan Yard               tile 7497  
  PlayerColony                 Colony                     tile 16869 
  TribeCivil                   Duneward                   tile 5584  
  TribeCivil                   Stone Moot                 tile 6302  
  TribeCivil                   Redscarp                   tile 2849  
  TribeCivil                   Razorsand                  tile 10104 
  TribeCivil                   Barno                      tile 21443 
  TribeCivil                   The Long Camp              tile 11153 
  TribeCivil                   Ashfoot                    tile 16770 
  TribeCivil                   Sufferband                 tile 13458 
  TribeCivil                   The Blind Wells            tile 8866  
