defName,label,mod,isTree,treeCategory,purpose,growDays,harvestedThingDef,minGrowthTemp,maxGrowthTemp,minOptTemp,maxOptTemp,fertilityMin,ignoresFertility,cavePlant,pollution,wildOrder,wildClusterRadius,sowTags,texPath
BMT_Brightbells,brightbells,Biomes! Caverns,False,None,Misc,4,,0,58,6,42,0.5,False,True,CleanOnly,0,1,,Things/Plant/BMT_Brightbells
BMT_BrightbellsPlanted,brightbells,Biomes! Caverns,False,None,Misc,4,,0,58,6,42,0.10000000149011612,False,True,CleanOnly,0,1,BMT_Fungiponics,Things/Plant/BMT_Brightbells
BMT_BurnedMushroom,burned shroom,Biomes! Caverns,False,None,Misc,30,BMT_MushroomLog,0,58,6,42,0.009999999776482582,False,False,CleanOnly,2,-1,,Things/Plant/BurnedTree
BMT_Candlesnuff,candlesnuff,Biomes! Caverns,True,Full,Misc,12,BMT_MushroomLog,50,352.22198486328125,50,352.22198486328125,0.699999988079071,False,False,CleanOnly,3,3,Ground,BMT_Caverns/Things/Plant/Candlesnuff/CandlesnuffGrown
BMT_CapscoolFungus,capscool,Biomes! Caverns,False,None,Health,10,BMT_CoolingSalve,50,352.22198486328125,50,352.22198486328125,0.699999988079071,False,True,CleanOnly,2,4,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/Capscool/CapscoolGrown
BMT_CarveShroom,carvefungus,Biomes! Caverns,False,None,Misc,8,RawFungus,-50,30,6,42,0.05000000074505806,False,False,CleanOnly,3,8,,BMT_Caverns/Things/Plant/Carveshroom
BMT_CavernMycelium,mycelium,Biomes! Caverns,False,None,Misc,3.5,BMT_MycelialBlocks,-50,352.22198486328125,-50,352.22198486328125,0.05000000074505806,False,False,CleanOnly,1,4,Ground,BMT_Caverns/Things/Plant/Mycelium
BMT_Chromacap,chromacap,Biomes! Caverns,False,None,Misc,2,Dye,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/Chromacap
BMT_Chubshroom,chubshroom,Biomes! Caverns,False,None,Misc,5,,-50,30,-50,30,0.05000000074505806,False,False,CleanOnly,3,8,,BMT_Caverns/Things/Plant/Chubshroom
BMT_CoralClub,coral club,Biomes! Caverns,False,None,Misc,5,RawFungus,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,,BMT_Caverns/Things/Plant/CoralClub
BMT_CrimsonCap,crimson cap,Biomes! Caverns,False,None,Beauty,5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,Ground,BMT_Caverns/Things/Plant/CrimsonCap
BMT_Crystal_BlueSowable,fast growing crystal,Biomes! Caverns,False,None,Misc,33.29999923706055,BMT_ResourceBlueCrystal,0,58,6,42,0.10000000149011612,False,False,Any,3,4,,BMT_Caverns/Things/Crystals/BlueMedium
BMT_Crystalcap,crystalcap,Biomes! Caverns,True,Full,Misc,30,BMT_MushroomLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,3,Ground,BMT_Caverns/Things/Plant/Crystalcap
BMT_CrystaltipBrambles,crystaltip brambles,Biomes! Caverns,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/CrystaltipBrambles
BMT_Curlbranch,curlbranch,Biomes! Caverns,True,Full,Misc,15,BMT_MushroomLog,-50,30,-50,30,0.05000000074505806,False,False,CleanOnly,3,8,Ground|Ground,BMT_Caverns/Things/Plant/Curlbranch
BMT_DarkWispcap,dark wispcap,Biomes! Caverns,False,None,Misc,5,,0,58,6,42,0.10000000149011612,False,False,CleanOnly,3,3,Ground|Decorative,BMT_Caverns/Things/Plant/DarkWispcap
BMT_DarkWisptoll,dark wisptoll,Biomes! Caverns,True,Full,Misc,5,,0,58,6,42,0.10000000149011612,False,False,Any,3,3,Ground|Ground,BMT_Caverns/Things/Plant/DarkWisptoll
BMT_Dewshrooms,dewshrooms,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/Seadew
BMT_Dishcap,dish cap,Biomes! Caverns,True,Full,Misc,14,BMT_MushroomLog,0,58,6,42,0.699999988079071,False,False,Any,3,3,Ground,BMT_Caverns/Things/Plant/Dishcap
BMT_DulcisPlant,dulcis,Biomes! Caverns,False,None,Food,7,BMT_RawDulcis,-45,352.22198486328125,-45,352.22198486328125,0.699999988079071,False,True,Any,2,5,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/Dulcis/DulcisGrown
BMT_ExplodingAngel,exploding angel,Biomes! Caverns,True,Full,Misc,5,RawFungus,50,352.22198486328125,50,352.22198486328125,0.75,False,False,CleanOnly,3,8,Ground,BMT_Caverns/Things/Plant/ExplodingAngel/ExplodingAngelGrown
BMT_Fibershroom,fibershroom,Biomes! Caverns,False,None,Misc,6,BMT_MushroomLog,0,58,6,42,0.20000000298023224,False,False,CleanOnly,2,-1,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/Fibershroom
BMT_FireLavender,fire lavender,Biomes! Caverns,False,None,Misc,5,,50,352.22198486328125,50,352.22198486328125,0.05000000074505806,False,False,CleanOnly,3,8,Ground,BMT_Caverns/Things/Plant/FireLavender
BMT_FlakespireFungus,flakespire fungus,Biomes! Caverns,True,Full,Misc,18,BMT_MushroomLog,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,3,Ground,BMT_Caverns/Things/Plant/FlakespireFungus
BMT_FloorMold,floor mold,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/FloorMold
BMT_Frigu,frigu,Biomes! Caverns,True,Full,Misc,12,BMT_MushroomLog,-50,30,-50,30,0.699999988079071,False,False,CleanOnly,3,3,Ground|Ground,BMT_Caverns/Things/Plant/Frigu
BMT_FruitingBodies,mold fruiting bodies,Biomes! Caverns,False,None,Misc,4.5,,0,58,6,42,0.05000000074505806,False,False,Any,1,5,,BMT_Caverns/Things/Plant/FruitingBodies
BMT_FungalTendril,tendralus,Biomes! Caverns,False,None,Misc,5,,-50,30,-50,30,0.05000000074505806,False,False,CleanOnly,3,8,,BMT_Caverns/Things/Plant/FungalTendril
BMT_Fungusfern,fungusfern,Biomes! Caverns,False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,BMT_Caverns/Things/Plant/Fungusfern
BMT_GiantLeaf,giant leaf,Biomes! Caverns,False,None,Food,12,BMT_RawGiantLeaf,0,58,6,42,1,False,False,CleanOnly,2,10,Ground,BMT_Caverns/Things/Plant/GiantLeaf
BMT_Gleamcap,gleamcap,Biomes! Caverns,False,None,Misc,24,BMT_GleamcapSalve,0,58,6,42,0.5,False,True,CleanOnly,0,4,,Things/Plant/BMT_Gleamcap
BMT_GleamcapPlanted,gleamcap,Biomes! Caverns,False,None,Misc,12,BMT_GleamcapSalve,0,58,6,42,0.10000000149011612,False,True,CleanOnly,0,4,BMT_Fungiponics,Things/Plant/BMT_Gleamcap
BMT_Gleamtip,gleamtip,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/Gleamtip
BMT_Glittercap,glittercap,Biomes! Caverns,False,None,Beauty,1.5,,-50,30,-50,30,0.05000000074505806,False,False,CleanOnly,3,8,Ground|Decorative,BMT_Caverns/Things/Plant/Glittercap
BMT_Glowbulb,glowbulb,Biomes! Caverns,False,None,Food,14,BMT_RawGlowbulb,0,58,6,42,0.5,False,True,CleanOnly,0,3,,Things/Plant/BMT_Glowbulb
BMT_GlowbulbPlanted,glowbulb,Biomes! Caverns,False,None,Food,14,BMT_RawGlowbulb,0,58,6,42,0.10000000149011612,False,True,CleanOnly,0,3,BMT_Fungiponics,Things/Plant/BMT_Glowbulb
BMT_GlowingSucculent,glimmering cactus,Biomes! Caverns,False,None,Misc,4,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,8,,BMT_Caverns/Things/Plant/GlowSucculent
BMT_Greatbulb,greatbulb,Biomes! Caverns,False,None,Misc,5,BMT_RawGlowbulb,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,,BMT_Caverns/Things/Plant/Greatbulb
BMT_GreenArpeau,arpeau,Biomes! Caverns,True,Full,Misc,5,BMT_MushroomLog,0,58,6,42,0.699999988079071,True,False,CleanOnly,1,20,,BMT_Caverns/Things/Plant/ArpeauGreen
BMT_GreyLady,Grey Lady,Biomes! Caverns,False,None,Misc,8,Cloth,0,58,6,42,0.699999988079071,False,True,CleanOnly,2,3,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/GreyLady/GreyLadyGrown
BMT_Greyfields,greyfields,Biomes! Caverns,False,None,Food,14,BMT_RawGreyfields,0,58,6,42,0.5,False,True,CleanOnly,1,6,,Things/Plant/BMT_Greyfields
BMT_GreyfieldsPlanted,greyfields,Biomes! Caverns,False,None,Food,6,BMT_RawGreyfields,0,58,6,42,0.10000000149011612,False,True,CleanOnly,1,6,BMT_Fungiponics,Things/Plant/BMT_Greyfields
BMT_HealrootGrass,healroot grass,Biomes! Caverns,False,None,Misc,2,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,2,-1,,BMT_Caverns/Things/Plant/HealrootGrass
BMT_HeatsinkFungus,heatsink fungus,Biomes! Caverns,True,Full,Health,5,,50,352.22198486328125,50,352.22198486328125,0.05000000074505806,False,False,CleanOnly,3,1,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/HeatsinkFungus
BMT_JadeGlintsCrop,jade glint fungus,Biomes! Caverns,False,None,Food,8,BMT_JadeGlints,0,58,6,42,0.25,False,True,Any,2,6,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/JadeGlints
BMT_JuiceCactus,juice cactus,Biomes! Caverns,False,None,Food,3.5,BMT_CactusJuice,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,8,Ground,BMT_Caverns/Things/Plant/JuiceCactus
BMT_KessingerPlant,kessinger,Biomes! Caverns,False,None,Food,3,BMT_Kessinger,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,10,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/Kessinger
BMT_LuminousSpout,luminous spout,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.05000000074505806,True,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/LuminousSpout
BMT_MoonlessStripesPlant,moonless stripes,Biomes! Caverns,False,None,Misc,8,BMT_MoonlessSilk,50,352.22198486328125,50,352.22198486328125,0.699999988079071,False,True,CleanOnly,2,3,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/MoonlessStripes
BMT_MortalMorelPlant,mortal morel,Biomes! Caverns,False,None,Health,10,BMT_MedicineFungal,-50,352.22198486328125,-45,352.22198486328125,1,False,True,CleanOnly,2,4,,BMT_Caverns/Things/Plant/MortalMorel
BMT_MortalMorelPlantGrowable,mortal morel,Biomes! Caverns,False,None,Health,10,BMT_MedicineFungal,-50,352.22198486328125,6,42,1,False,True,CleanOnly,2,-1,Ground|BMT_Fungiponics,BMT_Caverns/Things/Plant/MortalMorel
BMT_Mycelium,mycelium,Biomes! Caverns,False,None,Misc,20,BMT_MycelialBlocks,0,58,6,42,0.8999999761581421,False,False,CleanOnly,2,-1,,Things/Plant/BMT_Mycelium
BMT_Nogtyl,nogtyl,Biomes! Caverns,True,Full,Misc,7,WoodLog,0,58,6,42,0,False,False,Any,1,4,Ground,BMT_Caverns/Things/Plant/Nogtyl
BMT_NogtylMarsh,nogtyl,Biomes! Caverns,True,Full,Misc,7,WoodLog,0,58,6,42,0.10000000149011612,False,False,Any,1,15,Ground,BMT_Caverns/Things/Plant/Nogtyl
BMT_Nuitae,nuitae,Biomes! Caverns,False,None,Misc,3,,0,58,6,42,0.10000000149011612,True,False,Any,1,4,,BMT_Caverns/Things/Plant/Nuitae
BMT_NuitaeMarsh,nuitae,Biomes! Caverns,False,None,Misc,3,,0,58,6,42,0.10000000149011612,False,False,Any,1,4,,BMT_Caverns/Things/Plant/Nuitae
BMT_Poptop,poptop,Biomes! Caverns,True,Full,Misc,1,,0,58,6,42,0.05000000074505806,False,False,Any,3,3,Ground|Ground,BMT_Caverns/Things/Plant/Poptop
BMT_PowerFungus,power fungus,Biomes! Caverns,False,None,Beauty,1.5,,0,58,6,42,0.20000000298023224,False,False,CleanOnly,1,-1,Ground|Decorative,BMT_Caverns/Things/Building/PowergeneratingShroom/PowerFungusImmature
BMT_Pusmelon,pusmelon,Biomes! Caverns,False,None,Misc,3.799999952316284,,0,58,6,42,0.5,False,False,CleanOnly,1,6,,BMT_Caverns/Things/Plant/Pusmelon
BMT_Ravelmush,ravelmush,Biomes! Caverns,True,Full,Misc,5,BMT_MushroomLog,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,Ground|Ground,BMT_Caverns/Things/Plant/Ravelmush
BMT_ReindeerMoss,reindeer moss,Biomes! Caverns,False,None,Misc,3,,-50,30,-50,30,0.699999988079071,False,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/ReindeerMoss
BMT_RimeFlower,rime flower,Biomes! Caverns,False,None,Beauty,5,,-50,30,-50,30,0.05000000074505806,False,False,CleanOnly,3,8,,BMT_Caverns/Things/Plant/RimeFlower
BMT_RimeFlowerGrowable,rime flower,Biomes! Caverns,False,None,Beauty,5,,-50,30,6,42,0.05000000074505806,False,False,CleanOnly,3,8,Ground|Decorative,BMT_Caverns/Things/Plant/RimeFlower
BMT_RoyalBracket,royal bracket,Biomes! Caverns,False,None,Food,30,BMT_RawRoyalBracket,0,58,6,42,0.5,False,True,CleanOnly,2,5,,Things/Plant/BMT_RoyalBracket
BMT_RoyalBracketPlanted,royal bracket,Biomes! Caverns,False,None,Food,30,BMT_RawRoyalBracket,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,5,BMT_Fungiponics,Things/Plant/BMT_RoyalBracket
BMT_RustPuff,rustpuff,Biomes! Caverns,False,None,Misc,5.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,6,,BMT_Caverns/Things/Plant/RustPuff
BMT_Sagecrust,sagecrust,Biomes! Caverns,False,None,Misc,3.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,3,,BMT_Caverns/Things/Plant/Sagecrust
BMT_Shimbershroom,shimbershroom,Biomes! Caverns,True,Full,Misc,10,BMT_MushroomLog,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,3,Ground,BMT_Caverns/Things/Plant/Shimbershroom/ShimbershroomGrown
BMT_Shimmershroom,shimmershroom,Biomes! Caverns,False,None,Food,10,BMT_RawShimmershroom,0,58,6,42,0.5,False,True,CleanOnly,0,7,,Things/Plant/BMT_Shimmershroom
BMT_ShimmershroomPlanted,shimmershroom,Biomes! Caverns,False,None,Food,10,BMT_RawShimmershroom,0,58,6,42,0.10000000149011612,False,True,CleanOnly,0,7,BMT_Fungiponics,Things/Plant/BMT_Shimmershroom
BMT_Shinecap,shine cap,Biomes! Caverns,True,Full,Misc,30,BMT_Glimmerslime,0,58,6,42,0.699999988079071,False,False,CleanOnly,3,8,Ground|Ground,BMT_Caverns/Things/Plant/Shinecap/ShinecapGrown
BMT_Skulltop,skulltop,Biomes! Caverns,True,Full,Misc,8,BMT_MushroomLog,0,58,6,42,0.05000000074505806,False,False,Any,2,5,Ground,BMT_Caverns/Things/Plant/Skulltop/Skulltop
BMT_StarchstalkPlant,starchstalk,Biomes! Caverns,False,None,Food,6,BMT_Starchstalk,0,58,6,42,0.5,False,True,Any,2,5,Ground|Hydroponic,BMT_Caverns/Things/Plant/Starchstalk
BMT_Stimquill,stimquill,Biomes! Caverns,False,None,Misc,5.5,BMT_StimquillDrug,0,58,6,42,0.05000000074505806,False,True,CleanOnly,2,6,,BMT_Caverns/Things/Plant/Stimquill
BMT_StinkLattice,stink lattice,Biomes! Caverns,True,Full,Misc,4,,50,352.22198486328125,50,352.22198486328125,0.05000000074505806,False,False,Any,2,5,Ground,BMT_Caverns/Things/Plant/StinkLattice/StinkLatticeGrown
BMT_VioletWimple,violet wimple,Biomes! Caverns,False,None,Misc,5,RawFungus,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,,BMT_Caverns/Things/Plant/VioletWimple
BMT_VoltaicFungus,voltaic fungus,Biomes! Caverns,True,Full,Misc,14,BMT_MushroomLog,0,58,6,42,0.699999988079071,False,False,Any,3,3,Ground,BMT_Caverns/Things/Plant/Dishcap
BMT_WatOrbs,watorbs,Biomes! Caverns,False,None,Misc,1.5,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,8,,BMT_Caverns/Things/Plant/WatOrbs
BMT_Wheelshroom,wheelshroom,Biomes! Caverns,False,None,Misc,5,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,8,,BMT_Caverns/Things/Plant/Wheelshroom
BMT_Wrinklecap,wrinklecap,Biomes! Caverns,False,None,Misc,3,,0,58,6,42,0.10000000149011612,True,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/Wrinklecap
BMT_WrinklecapMarsh,wrinklecap,Biomes! Caverns,False,None,Misc,3,,0,58,6,42,0.10000000149011612,False,False,CleanOnly,1,4,,BMT_Caverns/Things/Plant/Wrinklecap
BMT_YumBulbs,yum bulbs,Biomes! Caverns,False,None,Beauty,5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,3,8,Ground|Decorative,BMT_Caverns/Things/Plant/YumBulbs
BiomesIslands_CoconutPalm,coral coconut tree,Biomes! Core,False,None,Food,20,BiomesIslands_Coconuts,0,58,6,42,0.5,False,False,CleanOnly,2,12,Ground,BiomesCore_Things/Plant/CoconutPalm/CoconutPalm
BMT_Plant_BloomingCorpse,blooming corpse,Biomes! Polluted Lands,False,None,Misc,4,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/BloomingCorpse/BloomingCorpse
BMT_Plant_CottonCap,cotton cap,Biomes! Polluted Lands,False,None,Misc,6,Cloth,0,58,6,42,0.5,False,False,PollutedOnly,2,-1,Ground|Hydroponic,BMT_PollutedLands/Things/Plant/CottonCap/CottonCap
BMT_Plant_CryingWolfberryBush,crying wolfberry bush,Biomes! Polluted Lands,True,Full,Food,8,BMT_CryingWolfBerries,0,58,6,42,0.5,False,False,PollutedOnly,2,8,Ground|Ground|Hydroponic,BMT_PollutedLands/Things/Plant/CryingWolfberryBush/CryingWolfberryBush
BMT_Plant_Doomsprout,doomsprout,Biomes! Polluted Lands,False,None,Misc,10,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/Doomsprout/Doomsprout
BMT_Plant_EclipsusFlower,eclipsus,Biomes! Polluted Lands,False,None,Misc,5,,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/Eclipsus
BMT_Plant_EclipsusLeaves,eclipsus,Biomes! Polluted Lands,False,None,Misc,5,,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/EclipsusLeaf
BMT_Plant_GreyFern,grey fern,Biomes! Polluted Lands,False,None,Misc,3,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/GreyFern
BMT_Plant_GutterPlantain,gutter plantain,Biomes! Polluted Lands,False,None,Misc,3,,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/GutterPlantain
BMT_Plant_Mantrap,mantrap,Biomes! Polluted Lands,False,None,Misc,7,,0,58,6,42,0.30000001192092896,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/Mantrap/Mantrap
BMT_Plant_PaganThorns,pagan thorns,Biomes! Polluted Lands,False,None,Beauty,2.5,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,1,4,Ground,BMT_PollutedLands/Things/Plant/PaganThorns
BMT_Plant_PaganThornsPotted,pagan thorns,Biomes! Polluted Lands,False,None,Beauty,2.5,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,1,4,Decorative,BMT_PollutedLands/Things/Plant/PaganThorns
BMT_Plant_Pestia,pestia,Biomes! Polluted Lands,False,None,Misc,5,,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/Pestia
BMT_Plant_PigsEars,pigs ears,Biomes! Polluted Lands,False,None,Misc,4,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/PigsEars
BMT_Plant_PlagueFans,plague fans,Biomes! Polluted Lands,False,None,Misc,4,,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/PlagueFans/PlagueFans
BMT_Plant_PoxSorghum,pox sorghum,Biomes! Polluted Lands,False,None,Food,5.5,BMT_PoxSorghumHarvested,0,58,6,42,0.5,False,False,PollutedOnly,2,-1,Ground|Hydroponic,BMT_PollutedLands/Things/Plant/PoxSorghum/PoxSorghum
BMT_Plant_Rashroot,rashroot,Biomes! Polluted Lands,False,None,Health,7,MedicineHerbal,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,Ground|Hydroponic,BMT_PollutedLands/Things/Plant/Rashroot/Rashroot
BMT_Plant_ScorchedStars,scorched stars,Biomes! Polluted Lands,False,None,Misc,5,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/ScorchedStars
BMT_Plant_SewerReed,sewer reed,Biomes! Polluted Lands,False,None,Misc,5,,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/SewerReed
BMT_Plant_Snaketails,snaketails,Biomes! Polluted Lands,False,None,Misc,3,,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/Snaketails/Snaketails
BMT_Plant_Toxcaps,toxcaps,Biomes! Polluted Lands,False,None,Misc,2.5,,0,58,6,42,0,False,False,PollutedOnly,1,-1,,BMT_PollutedLands/Things/Plant/Toxcaps
BMT_Plant_ToxicIvy,toxic ivy,Biomes! Polluted Lands,False,None,Misc,2.5,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,1,-1,,BMT_PollutedLands/Things/Plant/ToxicIvy
BMT_Plant_TreeBarbedLarch,barbed larch tree,Biomes! Polluted Lands,True,Full,Misc,20,BMT_Toxwood,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,3,8,Ground,BMT_PollutedLands/Things/Plant/BarbedLarch
BMT_Plant_TreeBlotBirch,blot birch tree,Biomes! Polluted Lands,True,Full,Misc,20,BMT_Toxwood,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,3,8,Ground,BMT_PollutedLands/Things/Plant/BlotBirch
BMT_Plant_TreeClawhandCitron,clawhand citron,Biomes! Polluted Lands,True,Full,Food,15.5,BMT_ClawhandCitron,0,58,6,42,0.5,False,False,PollutedOnly,2,8,Ground|Ground,BMT_PollutedLands/Things/Plant/ClawhandCitron/ClawhandCitron
BMT_Plant_TreeMartyr,martyr tree,Biomes! Polluted Lands,True,Full,Misc,10,BMT_Toxwood,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,3,-1,Ground,BMT_PollutedLands/Things/Plant/MartyrTree
BMT_Plant_TreeScalpedCypress,scalped cypress,Biomes! Polluted Lands,True,Full,Misc,35,BMT_Toxwood,0,58,6,42,0.5,True,False,PollutedOnly,3,-1,Ground,BMT_PollutedLands/Things/Plant/ScalpedCypress
BMT_Plant_TreeSeepingEucalyptus,seeping eucalyptus,Biomes! Polluted Lands,True,Full,Misc,30,BMT_Toxwood,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,3,8,Ground,BMT_PollutedLands/Things/Plant/SeepingEucalyptus
BMT_Plant_TreeSnakeWillow,snake willow,Biomes! Polluted Lands,True,Full,Misc,13,BMT_Toxwood,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,3,-1,Ground,BMT_PollutedLands/Things/Plant/SnakeWillow
BMT_Plant_TreeTanglerootMangrove,tangleroot mangrove,Biomes! Polluted Lands,True,Full,Misc,12,BMT_Toxwood,0,58,6,42,0.05000000074505806,True,False,PollutedOnly,3,-1,Ground,BMT_PollutedLands/Things/Plant/TanglerootMangrove
BMT_Plant_TreeTwistingThornwood,twisting thornwood,Biomes! Polluted Lands,True,Full,Misc,15,BMT_Toxwood,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,3,-1,Ground,BMT_PollutedLands/Things/Plant/TwistingThornwood
BMT_Plant_TreeWhistlingCane,whistling cane,Biomes! Polluted Lands,True,Full,Misc,30,BMT_Toxwood,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,3,8,Ground,BMT_PollutedLands/Things/Plant/WhistlingCane
BMT_Plant_TreeWormoak,wormoak tree,Biomes! Polluted Lands,True,Full,Misc,30,BMT_Toxwood,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,3,8,Ground,BMT_PollutedLands/Things/Plant/Wormoak
BMT_Plant_TumorbulbHyacinth,tumorbulb hyacinth,Biomes! Polluted Lands,False,None,Misc,5,,0,58,6,42,0.10000000149011612,True,False,PollutedOnly,1,8,,BMT_PollutedLands/Things/Plant/TumorbulbHyacinth
BMT_Plant_TwistedDandelion,twisted dandelion,Biomes! Polluted Lands,False,None,Beauty,2.5,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,1,4,Ground,BMT_PollutedLands/Things/Plant/TwistedDandelion
BMT_Plant_TwistingThorngrass,twisting thorngrass,Biomes! Polluted Lands,False,None,Misc,2.5,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,1,-1,,BMT_PollutedLands/Things/Plant/TwistingThorngrass
BMT_Plant_TwistingThornweed,twisting thornweed,Biomes! Polluted Lands,False,None,Misc,5,,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/TwistingThornweed
BMT_Plant_WeepingHagbloom,weeping hagbloom,Biomes! Polluted Lands,False,None,Food,6,BMT_HagbloomNectar,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,-1,,BMT_PollutedLands/Things/Plant/WeepingHagbloom
BMT_Plant_WildRashroot,wild rashroot,Biomes! Polluted Lands,False,None,Health,7,MedicineHerbal,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,4,,BMT_PollutedLands/Things/Plant/Rashroot/Rashroot
BMT_RainbowTongue,rainbow tongue,Biomes! Polluted Lands,False,None,Misc,2,Dye,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,-1,Ground|Hydroponic,BMT_PollutedLands/Things/Plant/RainbowTongue/RainbowTongue
BMT_SpinyHops,spiny hop,Biomes! Polluted Lands,False,None,Misc,5,RawHops,0,58,6,42,0.10000000149011612,False,False,PollutedOnly,2,-1,Ground|Hydroponic,BMT_PollutedLands/Things/Plant/SpinyHops/SpinyHops
ChoppedStump_Polluted,chopped stump,Biotech,False,None,Misc,30,WoodLog,0,58,6,42,0.009999999776482582,False,False,CleanOnly,2,-1,,Things/Plant/Stumps/PollutedChopped
ChoppedStump_Polux,chopped polux stump,Biotech,False,None,Misc,30,WoodLog,0,58,6,42,0.009999999776482582,False,False,CleanOnly,2,-1,,Things/Plant/Stumps/TreePolux/Chopped
Plant_GrayGrass,gray grass,Biotech,False,None,Misc,2.5,,0,58,6,42,0.05000000074505806,False,False,PollutedOnly,1,-1,,Things/Plant/Graygrass
Plant_PebbleCactus,pebble cactus,Biotech,True,Full,Misc,28,WoodLog,0,75,6,42,0.5,False,False,PollutedOnly,3,8,Ground,Things/Plant/PebbleCactus
