tile,landmark,name,label
1859,AB_TarLakes,Magpiefoot Tar Lakes,tar lakes
1866,AB_TarLakes,Komaera Tar Lakes,tar lakes
2637,AB_TarLakes,Finuay Asphalt Pits,tar lakes
10015,AB_TarLakes,Rodaballo Asphalt Pits,tar lakes
37,VEE_FleshPits,Vasalo Anomalous Caverns,flesh pits
1062,VEE_FleshPits,Gogu Flesh Pit Expanse,flesh pits
469,VEE_FleshPits,Onfenan Flesh Pit Expanse,flesh pits
992,VEE_FleshPits,Badhand Flesh Pit Expanse,flesh pits
10201,VEE_FleshPits,Blackmagpie Flesh Pits,flesh pits
7485,VEE_FleshPits,Ourberium Anomalous Caverns,flesh pits
17828,VEE_FleshPits,Philip's Ruination Anomalous Caverns,flesh pits
12411,AncientQuarry,Red Hedgehog Quarry,ancient quarry
14470,AncientQuarry,Gane Quarry,ancient quarry
16854,AncientQuarry,Cambiar Rock Pits,ancient quarry
4303,AncientQuarry,Banzo Mines,ancient quarry
6695,AncientQuarry,Excavation Site,ancient quarry
12396,AncientQuarry,Mabar Mines,ancient quarry
9593,VEE_SerpentineCanyons,Canto Canyons,serpentine canyons
499,VEE_SerpentineCanyons,Blue Stingray Canyons,serpentine canyons
18770,VEE_SerpentineCanyons,Ourforaseron Canyons,serpentine canyons
18932,VEE_SerpentineCanyons,Tol Canyons,serpentine canyons
8106,VEE_SerpentineCanyons,Lorenzo's Canyons,serpentine canyons
16898,VEE_SerpentineCanyons,Toxro Canyons,serpentine canyons
8896,Archipelago,Hadlonin's Foot Islands,archipelago
2249,Archipelago,Primestinkbug Islands,archipelago
13203,Archipelago,Miñoca Isles,archipelago
6636,Archipelago,Isle Graybeetle,archipelago
6909,Archipelago,Ambas Islands,archipelago
5937,VEE_StoneForest,Tallnose Rocky Spire Field,stone forest
15234,VEE_StoneForest,Bat Hip Craggy Stone Thicket,stone forest
10266,VEE_StoneForest,Ourinum Shattered Monoliths,stone forest
1284,VEE_StoneForest,Xigoque Craggy Stone Thicket,stone forest
1837,sw_DeadSarlacc,Dead Sarlacc,dead Sarlacc
15623,sw_DeadSarlacc,Dead Sarlacc,dead Sarlacc
20456,sw_DeadSarlacc,Dead Sarlacc,dead Sarlacc
15905,sw_DeadSarlacc,Dead Sarlacc,dead Sarlacc
14481,AncientHeatVent,Ñoisarocam Infernal Vents,ancient vent
14486,AncientHeatVent,Jackal Hell Holes,ancient vent
14490,AncientHeatVent,Trebo Hell Holes,ancient vent
2540,AB_MagmaticQuagmire,Leneunt Magmatic Quagmire,magmatic quagmire
7405,AB_MagmaticQuagmire,Purple Toad Magma Sinks,magmatic quagmire
7400,AB_MagmaticQuagmire,Hibo Magmatic Quagmire,magmatic quagmire
3214,VEE_RedDesert,Woodpecker's Arrogance Iron-Rich Desert,red sand desert
3678,VEE_RedDesert,Vasalo Rust-Colored Desert,red sand desert
15775,Plateau,Allitder Plateau,plateau
9566,Plateau,Croicam Rise,plateau
11903,HotSprings,Gray Hot Spring,hot springs
634,HotSprings,Stinkbugwrist Hot Springs,hot springs
12417,AbandonedColonyOutlander,Hinin Outpost,abandoned colony
2920,sw_Sarlacc,Biamb Sarlacci Burrow,sarlacc pit
4000,AncientLaunchSite,Alex's Launch Site,ancient launch site
21312,LavaCrater,Gray Crater,lava lake
19495,LavaLake,Icy Lemur Crater,lava lake
16887,VEE_AlluvialFan,Isla's Honor Depositional Flats,alluvial fan
6717,Basin,Nelson's Lunacy Basin,basin
1415,AB_QuicksandPits,Arba Quicksand Pits,quicksand pits
