tile,lat,lon,arc,bearing,elev_m,temp_c,rain_mm,biome,water,river_flow,region,hilliness,swampiness,temp_min_c,temp_max_c,seasonal_shift_c,pollution,river_dist,road_count,river_count,mutator_count,feature_id
7129,13.3889,-145.2216,143.0,157.35,934,-53.5,0,HorrorWastes,0,0,Deadstone,3,0,-61.0081,-45.9934,7.5082,0,0,0,0,1,25
7130,18.1789,-135.3723,132.5,154.95,641,-38.8,0,AB_MycoticJungle,0,0,Blindwood,2,0.4588,-48.4528,-29.1492,9.6529,0,0,0,0,0,75
7131,17.0864,-137.9401,135.2,155.35,671,-42.2,0,AB_MycoticJungle,0,0,Blindwood,2,0.4588,-51.3682,-33.0337,9.1684,0.8911,0,0,0,0,75
7132,18.5041,-140.0858,136.7,152.45,763,-45.1,0,AB_MycoticJungle,0,0,Blindwood,1,0.451,-54.8965,-35.3055,9.7966,0,0,0,0,0,75
7133,21.0940,-139.7206,135.4,149.18,702,-43.3,0,AB_MycoticJungle,0,0,Blindwood,1,0.451,-54.2305,-32.3717,10.9307,0,0,0,0,0,75
7134,22.2208,-137.1083,132.7,149.03,706,-39.9,0,AB_MycoticJungle,0,0,Blindwood,1,0.451,-51.3179,-28.4845,11.418,0,0,0,0,0,75
7135,20.7213,-134.9069,131.3,151.89,646,-37.8,0,AB_MycoticJungle,0,0,Blindwood,2,0.451,-48.5685,-27.0338,10.7686,0,0,0,0,0,75
7136,10.7251,-145.3724,143.9,161.57,806,-53.6,0,HorrorWastes,0,0,Deadstone,3,0,-59.8958,-47.3055,6.2959,0,0,0,0,1,25
7137,9.3895,-143.2421,142.2,164.55,599,-50.4,0,HorrorWastes,0,0,Deadstone,3,0,-56.0838,-44.7174,5.6839,0,0,0,0,1,25
7138,6.7058,-147.7341,147.1,167.58,869,-57.5,0,AB_PropaneLakes,0,0,Deadstone,2,0,-61.9472,-53.0537,4.4472,0,0,0,0,0,25
7139,9.3807,-147.6479,146.5,162.84,913,-57.2,0,BMT_CrystalCaverns,0,0,Deadstone,3,0,-58.336,-56.0643,1.136,0,0,0,0,1,25
7140,5.3709,-145.5626,145.2,170.56,621,-53.6,0,HorrorWastes,0,0,Deadstone,3,0,-57.536,-49.6648,3.936,0,0,0,0,1,25
7141,6.7119,-143.3458,142.8,168.85,530,-50.3,0,HorrorWastes,0,0,Deadstone,3,0,-54.75,-45.8509,4.45,0,0,0,0,1,25
7142,5.3646,-141.2284,140.9,171.47,329,-47.0,0,IceSheet,0,0,Deadstone,2,0,-50.9349,-43.0659,3.9349,0,0,0,0,0,25
7143,6.6609,-139.0123,138.6,169.90,342,-44.6,0,HorrorWastes,0,0,Deadstone,2,0,-49.0264,-40.1745,4.4265,1,0,0,0,0,25
7144,5.2719,-136.9096,136.7,172.31,349,-42.6,0,AB_MycoticJungle,0,0,Deadstone,2,0.5098,-46.5188,-38.682,3.9188,0,0,0,0,0,25
7145,2.6383,-137.0289,137.0,176.13,453,-43.8,0,AB_MycoticJungle,0,0,Deadstone,1,0.502,-47.2603,-40.3405,3.4603,0,0,0,0,0,25
7146,2.6847,-141.2873,141.2,175.71,431,-47.9,0,HorrorWastes,0,0,Deadstone,2,0,-51.3683,-44.4324,3.4684,0,0,0,0,0,25
7147,1.3378,-139.1796,139.2,177.95,402,-45.9,0,HorrorWastes,0,0,Deadstone,2,0,-49.1334,-42.6673,3.2335,0,0,0,0,0,25
7148,14.7711,-116.8022,115.8,163.54,-350,-9.9,0,SeaIce,1,0,Twilight Sea,1,0,-18.0321,-1.7696,8.1322,0,0,0,0,0,35
7149,14.2594,-119.4327,118.4,163.73,20,-9.9,0,AB_RockyCrags,0,0,Nightspill,3,0,-17.8015,-2.0001,7.9017,0,0,0,0,1,31
7150,10.1303,-118.3890,117.9,168.52,236,-13.8,0,AB_MycoticJungle,0,0,Nightspill,3,0.549,-19.8236,-7.7777,6.0236,0,0,0,0,0,31
7151,11.9257,-120.1843,119.5,166.27,256,-15.3,0,AB_MycoticJungle,0,0,Nightspill,2,0.549,-22.1437,-8.4577,6.8438,0,0,0,0,0,31
7152,10.5191,-115.8625,115.4,168.34,-350,-9.4,0,SeaIce,1,0,Twilight Sea,1,0,-15.6016,-3.1997,6.2017,0,0,0,0,0,35
7153,12.8253,-115.0307,114.4,165.90,-350,-9.7,0,SeaIce,1,0,Twilight Sea,1,0,-16.9527,-2.4488,7.2528,0,0,0,0,0,35
7154,13.1616,-112.4329,111.8,165.80,-350,-4.5,0,SeaIce,1,0,Twilight Sea,1,0,-11.9052,2.9037,7.4053,0,0,0,0,0,35
7155,15.5086,-111.5135,110.7,163.39,-350,-5.0,0,Ocean,1,0,Twilight Sea,1,0,-13.4634,3.4617,8.4636,0,0,0,0,0,35
7156,11.0854,-110.7710,110.4,168.17,59,-4.5,0,AB_RockyCrags,0,0,Twilight Crags,2,0,-10.9605,1.9592,6.4606,0,0,0,0,0,69
7157,11.2564,-108.2162,107.9,168.17,-350,-4.1,0,SeaIce,1,0,Twilight Sea,1,0,-10.6386,2.4372,6.5387,0,0,0,0,0,35
7158,13.5643,-107.2322,106.7,165.82,-350,-3.7,0,SeaIce,1,0,Twilight Sea,1,0,-11.2876,3.886,7.5877,0,28,0,0,0,35
7159,15.7278,-108.8683,108.1,163.43,-350,-3.9,0,Ocean,1,0,Twilight Sea,1,0,-12.4617,4.6599,8.5618,0,0,0,0,0,35
7160,18.4599,-120.5648,118.8,158.81,320,-10.5,16,AB_RockyCrags,0,0,Nightspill,4,0,-20.277,-0.725,9.7771,0,0,0,0,2,31
7161,20.1882,-122.5617,120.3,156.43,481,-19.4,0,AB_RockyCrags,0,0,Nightspill,2,0,-29.936,-8.8662,10.5361,0,0,0,0,0,31
7162,16.0539,-121.3146,120.0,161.38,198,-15.2,0,AB_RockyCrags,0,0,Nightspill,3,0,-23.9077,-6.4941,8.7078,0,0,0,0,1,31
7163,15.3712,-123.9601,122.6,161.66,255,-22.5,0,AB_RockyCrags,0,0,Nightspill,2,0,-30.9018,-14.0999,8.4019,0,0,0,0,0,31
7164,17.0073,-125.9452,124.1,159.30,261,-25.1,0,AB_RockyCrags,0,0,Nightspill,2,0,-34.233,-15.9689,9.1331,0,0,0,0,0,31
7165,19.4297,-125.2948,123.0,156.63,346,-23.2,0,AB_RockyCrags,0,0,Nightspill,3,0,-33.4039,-12.9982,10.204,0,0,0,0,1,31
7166,23.2437,-119.0152,116.5,153.84,487,-13.4,15,AB_RockyCrags,0,0,Nightspill,4,0,-25.257,-1.5455,11.8571,0,0,0,0,2,31
7167,25.6192,-118.2083,115.2,151.45,674,-16.9,0,PoisonForest,0,0,Twilight Crags,2,0.349,-29.7635,-4.0392,12.8637,0,0,0,0,0,69
7168,22.5953,-121.8385,119.1,153.90,482,-18.3,0,AB_RockyCrags,0,0,Nightspill,2,0,-29.879,-6.7234,11.5792,0,0,0,0,0,31
7169,24.3099,-123.9402,120.6,151.43,490,-22.7,0,AB_RockyCrags,0,0,Nightspill,2,0,-35.0111,-10.3914,12.3113,0.9154,0,0,0,0,31
7170,26.7658,-123.2288,119.3,148.91,551,-23.5,0,AB_RockyCrags,0,0,Nightspill,3,0,-36.8424,-10.1604,13.3425,0.8827,0,0,0,1,31
7171,27.4281,-120.3156,116.6,148.99,737,-19.6,0,PoisonForest,0,0,Twilight Crags,2,0.349,-33.2167,-5.9861,13.6169,0,0,0,0,0,69
7172,24.2207,-113.3115,111.2,153.90,747,-13.3,0,AridShrubland,0,0,Twilight Crags,3,0,-25.5732,-1.0293,12.2734,0,0,0,0,0,69
7173,24.5416,-110.4487,108.5,154.02,656,-9.5,0,AridShrubland,0,0,Twilight Crags,3,0,-21.9093,2.9067,12.4094,0,0,0,0,0,69
7174,26.1356,-115.2987,112.6,151.51,728,-15.5,0,AB_RockyCrags,0,0,Twilight Crags,1,0,-28.5798,-2.4229,13.0799,0.1739,0,0,0,3,69
7175,28.4751,-114.3947,111.3,149.22,704,-15.6,0,AB_RockyCrags,0,0,Twilight Crags,2,0,-29.6472,-1.5557,14.0474,0,0,0,0,0,69
7176,28.8506,-111.4044,108.6,149.39,472,-10.3,13,AridShrubland,0,0,Twilight Crags,4,0,-24.5005,3.8976,14.2007,0,0,0,0,1,69
7177,26.8442,-109.4459,107.3,151.78,380,-7.5,16,AridShrubland,0,0,Twilight Crags,4,0,-20.8749,5.8721,13.3751,0,0,0,0,1,69
7178,18.0408,-107.8779,107.0,161.11,-350,-4.8,0,SeaIce,1,0,Twilight Sea,1,0,-14.3917,4.7897,9.5918,0,0,0,0,0,35
7179,20.1654,-109.6063,108.4,158.70,85,-4.0,0,AridShrubland,0,0,Twilight Crags,3,0,-14.526,6.5239,10.5262,0,0,0,0,0,69
7180,22.4728,-108.6114,107.2,156.42,218,-4.2,16,AridShrubland,0,0,Twilight Crags,4,0,-15.7264,7.324,11.5265,0,0,0,0,1,69
7181,22.6700,-105.7897,104.5,156.54,-350,-3.7,0,SeaIce,1,0,Twilight Sea,1,0,-15.3111,7.9087,11.6113,0,0,0,0,0,35
7182,20.5177,-104.0788,103.2,158.90,-350,-1.8,0,Ocean,1,0,Twilight Sea,1,0,-12.4798,8.8776,10.6799,0,0,0,0,0,35
7183,18.1965,-105.1679,104.4,161.19,-350,1.3,0,Ocean,1,0,Twilight Sea,1,0.149,-8.3606,10.9586,9.6607,0,0,0,0,1,35
7184,-6.6609,-139.0123,138.6,190.10,720,-47.8,0,HorrorWastes,0,0,Deadstone,2,0,-52.2255,-43.3736,-4.4265,0,0,0,0,0,25
7185,-5.2719,-136.9096,136.7,187.69,700,-45.3,0,HorrorWastes,0,0,Deadstone,2,0,-49.218,-41.3812,-3.9188,0,0,0,0,0,25
7186,-1.3378,-139.1796,139.2,182.05,483,-46.6,0,HorrorWastes,0,0,Deadstone,2,0,-49.8328,-43.3666,-3.2335,0,0,0,0,0,25
7187,-2.6383,-137.0289,137.0,183.87,591,-44.8,0,HorrorWastes,0,0,Deadstone,3,0,-48.2596,-41.3397,-3.4603,0,0,0,0,1,25
7188,-2.6847,-141.2873,141.2,184.29,571,-49.5,0,HorrorWastes,0,0,Deadstone,2,0,-52.9676,-46.0317,-3.4684,0,0,0,0,0,25
7189,-5.3646,-141.2284,140.9,188.53,642,-49.9,0,HorrorWastes,0,0,Deadstone,2,0,-53.8341,-45.9651,-3.9349,0,0,0,0,0,25
7190,-9.0660,-134.4059,133.7,192.59,757,-42.8,0,HorrorWastes,0,0,Deadstone,3,0,-48.3341,-37.2648,-5.5353,0,0,0,0,1,25
7191,-10.1696,-132.0211,131.2,193.57,899,-40.6,0,HorrorWastes,0,0,Deadstone,2,0,-46.6403,-34.5584,-6.0417,0,0,0,0,0,25
7192,-6.4801,-134.6482,134.3,189.07,662,-42.6,0,HorrorWastes,0,0,Deadstone,2,0,-46.9419,-38.2572,-4.3429,0,0,0,0,0,25
7193,-5.0917,-132.6240,132.4,186.90,638,-40.3,0,HorrorWastes,0,0,Deadstone,2,0,-44.1867,-36.4126,-3.8875,0,0,0,0,0,25
7194,-6.2406,-130.3749,130.1,188.17,695,-38.1,0,HorrorWastes,0,0,Deadstone,2,0,-42.3312,-33.868,-4.2321,0,0,0,0,0,25
7195,-8.7308,-130.0157,129.5,191.34,793,-37.9,0,HorrorWastes,0,0,Deadstone,2,0,-43.28,-32.5189,-5.3811,0,0,0,0,0,25
7196,-14.6877,-142.8677,140.5,203.47,666,-50.5,0,HorrorWastes,0,0,Deadstone,2,0,-58.5929,-42.4055,-8.0947,0,0,0,0,0,25
7197,-13.3889,-145.2216,143.0,202.65,542,-52.4,0,HorrorWastes,0,0,Deadstone,2,0,-59.9066,-44.8919,-7.5082,0,0,0,0,0,25
7198,-17.3506,-147.1903,143.3,209.97,702,-53.8,0,HorrorWastes,0,0,Deadstone,3,0,-63.0838,-44.5143,-9.2858,0,0,0,0,1,25
7199,-14.7067,-147.3796,144.6,205.96,560,-54.1,0,HorrorWastes,0,0,Deadstone,2,0,-62.2015,-45.9969,-8.1032,0,0,0,0,0,25
7200,-18.6554,-144.7645,140.7,210.34,849,-51.5,0,HorrorWastes,0,0,Deadstone,2,0,-61.3612,-41.6368,-9.8633,0,0,0,0,0,25
7201,-17.3007,-142.5883,139.3,207.14,782,-49.7,0,HorrorWastes,0,0,Deadstone,2,0,-58.9616,-40.4365,-9.2636,0,0,0,0,0,25
7202,-6.7119,-143.3458,142.8,191.15,625,-52.2,0,HorrorWastes,0,0,Deadstone,2,0,-56.6491,-47.75,-4.45,0,0,0,0,0,25
7203,-9.3895,-143.2420,142.2,195.45,637,-52.0,0,HorrorWastes,0,0,Deadstone,2,0,-57.6826,-46.3162,-5.6839,0,0,0,0,0,25
7204,-10.7251,-145.3724,143.9,198.43,532,-53.2,0,HorrorWastes,0,0,Deadstone,2,0,-59.4946,-46.9042,-6.2959,0,0,0,0,0,25
7205,-9.3807,-147.6479,146.5,197.16,921,-55.9,0,AB_RockyCrags,0,0,Deadstone,2,0,-61.5786,-50.2203,-5.6798,0,0,0,0,0,25
7206,-6.7058,-147.7341,147.1,192.42,1195,-56.8,0,AB_RockyCrags,0,0,Deadstone,3,0,-61.2463,-52.3528,-4.4472,0,0,0,0,0,25
7207,-5.3709,-145.5626,145.2,189.44,660,-55.0,0,HorrorWastes,0,0,Deadstone,2,0,-58.9352,-51.064,-3.936,0,0,0,0,0,25
7208,-18.5041,-140.0858,136.7,207.55,776,-46.6,0,HorrorWastes,0,0,Deadstone,3,0,-56.3945,-36.8035,-9.7966,0,0,0,0,1,25
7209,-17.0864,-137.9401,135.2,204.65,1013,-46.4,0,HorrorWastes,0,0,Deadstone,3,0,-55.5664,-37.2318,-9.1684,0,0,0,0,1,25
7210,-22.2208,-137.1083,132.7,210.97,891,-42.2,0,HorrorWastes,0,0,Deadstone,3,0,-53.6155,-30.7821,-11.418,0,0,0,0,1,25
7211,-21.0940,-139.7206,135.4,210.82,831,-45.1,0,HorrorWastes,0,0,Deadstone,2,0,-56.0283,-34.1695,-10.9307,0,0,0,0,0,25
7212,-20.7213,-134.9069,131.3,208.11,1081,-41.9,0,HorrorWastes,0,0,Deadstone,3,0,-52.6662,-31.1315,-10.7686,0,0,0,0,1,25
7213,-18.1789,-135.3723,132.5,205.05,1140,-43.8,0,HorrorWastes,0,0,Deadstone,3,0,-53.4508,-34.1472,-9.6529,0,0,0,0,1,25
7214,-16.6977,-133.2616,131.0,202.39,1183,-42.1,0,HorrorWastes,0,0,Deadstone,3,0,-51.0933,-33.1049,-8.9953,0,0,0,0,1,25
7215,-14.1791,-133.7175,132.1,199.27,1002,-42.5,0,HorrorWastes,0,0,Deadstone,2,0,-50.3637,-34.6347,-7.8654,0,0,0,0,0,25
7216,-12.6947,-131.6358,130.4,196.77,953,-39.9,0,HorrorWastes,0,0,Deadstone,3,0,-47.0919,-32.7066,-7.1935,0,0,0,0,1,25
7217,-13.6873,-129.1270,127.8,197.43,918,-36.3,0,HorrorWastes,0,0,Deadstone,3,0,-43.9416,-28.6568,-7.6433,0,0,0,0,1,25
7218,-17.6801,-130.6505,128.4,202.79,1229,-38.9,0,HorrorWastes,0,0,Deadstone,2,0,-48.33,-29.4681,-9.4321,0,0,0,0,0,25
7219,-16.1447,-128.5881,126.8,200.32,1012,-35.5,0,HorrorWastes,0,0,Deadstone,3,0,-44.2465,-26.7518,-8.7484,0,0,0,0,1,25
7220,0.0000,-106.1657,106.2,180.00,-350,-4.7,0,SeaIce,1,0,Twilight Sea,1,0,-7.7,-1.7007,3,0,0,0,0,0,35
7221,2.2564,-107.4521,107.4,177.63,68,-5.1,0,ZBiome_Badlands,0,0,Twilight Sea,1,0,-8.4937,-1.707,3.3937,0,28,0,0,1,35
7222,0.0000,-111.0588,111.1,180.00,-350,-6.1,0,SeaIce,1,0,Twilight Sea,1,0,-9.0993,-3.1,-3,0,31,0,0,0,35
7223,2.2330,-109.9000,109.9,177.63,-350,-5.1,0,SeaIce,1,0,Twilight Sea,1,0,-8.4896,-1.7111,3.3896,0,0,0,0,0,35
7224,-2.2330,-109.9000,109.9,182.37,177,-7.1,0,AB_MycoticJungle,0,0,Twilight Crags,3,0.5804,-10.4889,-3.7104,-3.3896,0,0,0,0,0,69
7225,-2.2564,-107.4521,107.4,182.37,-350,-4.7,0,SeaIce,1,0,Twilight Sea,1,0,-8.093,-1.3063,-3.3937,0,0,0,0,0,35
7226,-4.5328,-106.2937,106.2,184.72,56,-3.8,16,AB_RockyCrags,0,0,Twilight Crags,4,0,-7.5895,-0.0098,-3.7903,0,0,0,0,2,69
7227,-4.5714,-103.7754,103.7,184.71,199,-3.1,60,AB_RockyCrags,0,0,Nightspill,4,0,-6.8962,0.697,-3.797,0,0,0,0,2,31
7228,-6.7647,-107.7039,107.6,187.10,532,-8.4,16,AB_RockyCrags,0,0,Twilight Crags,4,0,-12.8735,-3.9256,-4.4745,0,0,0,0,2,69
7229,-9.0574,-106.6675,106.5,189.45,893,-10.0,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-15.5301,-4.4688,-5.5313,0,0,0,0,1,69
7230,-9.1344,-104.1366,104.0,189.41,724,-6.9,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-12.4655,-1.3334,-5.5667,0,0,0,0,1,69
7231,-6.8802,-102.6714,102.6,187.05,619,-4.1,0,AB_RockyCrags,0,0,Nightspill,3,0,-8.6268,0.4278,-4.5278,0,0,0,0,1,31
7232,4.5714,-103.7754,103.7,175.29,-350,0.6,0,Ocean,1,0,Twilight Sea,1,0,-3.197,4.3962,3.797,0,25,0,0,0,35
7233,6.8802,-102.6714,102.6,172.95,-350,-1.1,0,SeaIce,1,0,Twilight Sea,1,0,-5.6278,3.4268,4.5278,0,0,0,0,0,35
7234,4.5328,-106.2937,106.2,175.28,-350,-3.5,0,Ocean,1,0,Twilight Sea,1,0,-7.2903,0.2895,3.7903,0,27,0,0,0,35
7235,6.7647,-107.7039,107.6,172.90,-350,-4.8,0,SeaIce,1,0,Twilight Sea,1,0,-9.2744,-0.3265,4.4745,0,0,0,0,0,35
7236,9.0574,-106.6675,106.5,170.55,-350,-3.7,0,SeaIce,1,0,Twilight Sea,1,0,-9.2312,1.8301,5.5313,0,0,0,0,0,35
7237,9.1344,-104.1366,104.0,170.59,-350,0.2,0,Ocean,1,0,Twilight Sea,1,0,-5.3666,5.7655,5.5667,0,0,0,0,0,35
7238,4.6321,-98.7611,98.7,175.31,1,3.5,0,AridShrubland,0,0,Twilight Sea,1,0,-0.3075,7.3067,3.8076,0,0,0,0,0,35
7239,4.6537,-96.2662,96.2,175.32,1,6.5,0,AridShrubland,0,0,Twilight Sea,1,0,2.6887,10.3105,3.8113,0,0,0,0,0,35
7240,6.9258,-100.1538,100.1,172.97,-350,1.9,0,SeaIce,1,0,Twilight Sea,1,0,-2.6488,6.4479,4.5489,0,0,0,0,0,35
7241,9.2548,-99.0323,98.9,170.63,-350,3.3,0,Ocean,1,0,Twilight Sea,1,0,-2.3219,8.9208,5.622,0,0,0,0,0,35
7242,9.2973,-96.4603,96.4,170.64,-350,6.3,0,Ocean,1,0,Twilight Sea,1,0,0.6586,11.9403,5.6415,0,18,0,0,0,35
7243,6.9899,-95.0904,95.1,172.98,-350,7.9,0,Ocean,1,0,Twilight Sea,1,0,3.3215,12.4775,4.5785,0,0,0,0,0,35
7244,0.0000,-96.1602,96.2,180.00,1,6.6,0,Desert,0,0,Twilight Sea,1,0,3.6007,9.6,-3,0,0,0,0,1,35
7245,-2.3316,-94.9499,94.9,182.34,53,8.1,0,Wasteland,0,0,Grinding Floor,2,0,4.6939,11.5068,-3.4068,0,0,0,0,0,88
7246,2.3316,-94.9499,94.9,177.66,1,8.1,0,Desert,0,0,Twilight Sea,1,0,4.6932,11.5061,3.4068,0,0,0,0,1,35
7247,2.3379,-92.4741,92.5,177.66,1,11.0,0,Desert,0,0,Twilight Sea,1,0,7.5921,14.4072,3.4079,0,0,0,0,1,35
7248,0.0000,-91.2256,91.2,180.00,1,12.5,0,Desert,0,0,Twilight Sea,1,0,9.5007,15.5,-3,0,0,0,0,1,35
7249,-2.3379,-92.4741,92.5,182.34,15,12.1,0,Wasteland,0,0,Grinding Floor,2,0,8.6928,15.5079,-3.4079,0,0,0,0,0,88
7250,-6.9258,-100.1538,100.1,187.03,474,-0.9,0,AB_RockyCrags,0,0,Nightspill,3,0,-5.4479,3.6488,-4.5489,0,0,0,0,1,31
7251,-4.6321,-98.7611,98.7,184.69,296,2.5,243,Wasteland,0,0,Nightspill,4,0,-1.3067,6.3075,-3.8076,0,0,0,0,1,31
7252,-4.6537,-96.2662,96.2,184.68,265,4.9,0,Wasteland,0,0,Nightspill,3,0,1.0895,8.7113,-3.8113,0,0,0,0,0,31
7253,-6.9899,-95.0904,95.1,187.02,381,5.4,0,Wasteland,0,0,Grinding Floor,3,0,0.8225,9.9785,-4.5785,0,0,2,0,0,88
7254,-9.2973,-96.4603,96.4,189.36,551,2.6,0,Wasteland,0,0,Nightspill,2,0,-3.0403,8.2414,-5.6415,0,0,0,0,0,31
7255,-9.2548,-99.0323,98.9,189.37,566,-0.4,0,AB_RockyCrags,0,0,Nightspill,2,0,-6.0208,5.2219,-5.622,0,0,2,0,0,31
7256,-18.4599,-120.5648,118.8,201.19,560,-23.7,0,AB_MycoticJungle,0,0,Nightspill,1,0.4,-33.475,-13.923,-9.7771,0,0,0,0,0,31
7257,-16.0539,-121.3146,120.0,198.62,542,-24.8,0,AB_MycoticJungle,0,0,Nightspill,2,0.4,-33.5059,-16.0923,-8.7078,0,0,0,0,0,31
7258,-17.0073,-125.9452,124.1,200.70,736,-30.6,0,HorrorWastes,0,0,Nightspill,3,0,-39.7311,-21.467,-9.1331,0,0,0,0,1,31
7259,-15.3712,-123.9601,122.6,198.34,711,-28.6,0,AB_MycoticJungle,0,0,Nightspill,2,0.4314,-37.0001,-20.1982,-8.4019,0,0,0,0,0,31
7260,-19.4297,-125.2948,123.0,203.37,758,-29.7,0,AB_MycoticJungle,0,0,Nightspill,3,0.4314,-39.9018,-19.4961,-10.204,0,0,0,0,0,31
7261,-20.1882,-122.5617,120.3,203.57,631,-25.9,0,AB_MycoticJungle,0,0,Nightspill,2,0.4,-36.4338,-15.364,-10.5361,0,0,0,0,0,31
7262,-14.7711,-116.8022,115.8,196.46,658,-21.0,0,AB_MycoticJungle,0,0,Nightspill,2,0.4,-29.1304,-12.8679,-8.1322,0,0,0,0,0,31
7263,-12.8253,-115.0307,114.4,194.10,608,-18.9,0,AB_MycoticJungle,0,0,Twilight Crags,1,0.4196,-26.1512,-11.6473,-7.2528,0,0,0,0,0,69
7264,-14.2594,-119.4327,118.4,196.27,532,-23.2,0,AB_MycoticJungle,0,0,Nightspill,1,0.4,-31.0999,-15.2985,-7.9017,0,0,0,0,0,31
7265,-11.9257,-120.1843,119.5,193.73,612,-24.8,0,AB_MycoticJungle,0,0,Nightspill,1,0.4196,-31.6423,-17.9563,-6.8438,0,0,0,0,0,31
7266,-10.1303,-118.3890,117.9,191.48,575,-22.7,0,AB_MycoticJungle,0,0,Nightspill,1,0.4196,-28.7223,-16.6764,-6.0236,0,0,0,0,0,31
7267,-10.5191,-115.8625,115.4,191.66,579,-19.7,0,AB_MycoticJungle,0,0,Nightspill,1,0.4196,-25.9003,-13.4984,-6.2017,0,0,0,0,0,31
7268,-15.5086,-111.5135,110.7,196.61,739,-15.8,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-24.2617,-7.3366,-8.4636,0,0,0,0,1,69
7269,-15.7278,-108.8683,108.1,196.57,1179,-15.1,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-23.6599,-6.5383,-8.5618,0,0,0,0,1,69
7270,-13.1616,-112.4329,111.8,194.20,689,-16.4,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-23.8037,-8.9948,-7.4053,0,0,0,0,1,69
7271,-11.0854,-110.7710,110.4,191.83,978,-16.0,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-22.4592,-9.5395,-6.4606,0,0,0,0,1,69
7272,-11.2564,-108.2162,107.9,191.83,1136,-14.1,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-20.6372,-7.5614,-6.5387,0,0,0,0,1,69
7273,-13.5643,-107.2322,106.7,194.18,928,-11.9,4,AB_RockyCrags,0,0,Twilight Crags,4,0,-19.486,-4.3124,-7.5877,0,0,0,0,2,69
7274,-20.1654,-109.6063,108.4,201.30,941,-14.9,5,AB_MycoticJungle,0,0,Twilight Crags,4,0.4314,-25.4239,-4.374,-10.5262,0,0,0,0,1,69
7275,-22.4728,-108.6114,107.2,203.58,1032,-14.1,9,AB_MycoticJungle,0,0,Twilight Crags,4,0.4392,-25.624,-2.5736,-11.5265,0,0,0,0,1,69
7276,-18.0408,-107.8779,107.0,198.89,1227,-14.4,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-23.9897,-4.8083,-9.5918,0,0,0,0,1,69
7277,-18.1965,-105.1679,104.4,198.81,756,-8.5,4,AB_RockyCrags,0,0,Twilight Crags,4,0,-18.1586,1.1606,-9.6607,0,0,0,0,2,69
7278,-20.5177,-104.0788,103.2,201.10,718,-7.1,4,AB_RockyCrags,0,0,Twilight Crags,4,0,-17.7776,3.5798,-10.6799,0,0,0,0,2,69
7279,-22.6700,-105.7897,104.5,203.46,1173,-11.6,0,AB_RockyCrags,0,0,Twilight Crags,3,0,-23.2087,0.0111,-11.6113,0,0,0,0,1,69
7280,-24.2207,-113.3115,111.2,206.10,666,-16.4,0,AB_MycoticJungle,0,0,Twilight Crags,2,0.3804,-28.6707,-4.1268,-12.2734,0,0,0,0,0,69
7281,-26.1356,-115.2987,112.6,208.49,639,-17.8,0,AB_MycoticJungle,0,0,Nightspill,2,0.3686,-30.8771,-4.7202,-13.0799,0.9199,0,0,0,0,31
7282,-24.5416,-110.4487,108.5,205.98,781,-14.1,0,AB_MycoticJungle,0,0,Twilight Crags,3,0.4,-26.5067,-1.6907,-12.4094,0,0,0,0,0,69
7283,-26.8442,-109.4459,107.3,208.22,840,-12.8,5,AB_RockyCrags,0,0,Twilight Crags,4,0,-26.1721,0.5749,-13.3751,0,0,0,0,2,69
7284,-28.8506,-111.4044,108.6,210.61,711,-13.5,0,AB_RockyCrags,0,0,Twilight Crags,2,0,-27.6976,0.7005,-14.2007,0,0,0,0,0,69
7285,-28.4751,-114.3947,111.3,210.78,637,-16.3,0,AB_MycoticJungle,0,0,Nightspill,2,0.3608,-30.3443,-2.2528,-14.0474,0,0,0,0,0,31
7286,-22.5953,-121.8385,119.1,206.10,724,-25.4,0,BMT_FungalForest,0,0,Nightspill,2,0.251,-27.7153,-23.0842,-2.3158,0,0,0,0,0,31
7287,-23.2437,-119.0152,116.5,206.16,580,-21.6,0,BMT_FungalForest,0,0,Nightspill,1,0.2392,-23.9709,-19.2286,-2.3714,0,0,0,0,0,31
7288,-25.6192,-118.2083,115.2,208.55,651,-20.9,0,BMT_FungalForest,0,0,Nightspill,1,0.2314,-23.4722,-18.3273,-2.5727,0,0,0,0,0,31
7289,-27.4281,-120.3156,116.6,211.01,788,-23.5,0,BMT_FungalForest,0,0,Nightspill,2,0.2392,-26.2228,-20.7767,-2.7234,0,0,0,0,0,31
7290,-26.7658,-123.2288,119.3,211.09,773,-26.4,0,BMT_FungalForest,0,0,Nightspill,2,0.251,-29.0679,-23.7315,-2.6685,0,0,0,0,0,31
7291,-24.3099,-123.9402,120.6,208.57,821,-27.9,0,BMT_FungalForest,0,0,Nightspill,2,0.251,-30.3617,-25.4378,-2.4623,0,0,0,0,0,31
7292,59.0290,-88.9315,89.5,120.97,19,14.8,0,Desert,0,0,Level,1,0,-9.3977,38.9928,24.1981,0,0,0,0,0,87
